name,SMILES,MinPartialCharge,StdPartialCharge,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,FormalCharge,LogP,RingCount,HeteroRing,FSP3,delta_PCE
4-chlorobenzylammonium iodide,C1=CC(=CC=C1C[NH3+])Cl.[I-],-1,0.305526101,-0.353808314,0.7,29.7103076,0,1,0,1,269.513,27.64,1,0,1,0,-1.9141,1,0,0.142857143,-0.48
phenethylammonium iodide,C1=CC=C(C=C1)CCN.I,-0.330142607,0.087324024,-0.330142607,1,5.733667477,0,1,0,1,249.095,26.02,1,1,2,0,1.8058,1,0,0.25,-1.97
methyl 3-sulfamoylthiophene-2-carboxylate,COC(=O)C1=C(C=CS1)S(=O)(=O)N,-0.464796453,0.217930564,-0.464796453,0.615384615,4.736862954,5.969305288,0,1,1,221.259,86.46,1,5,2,0,0.1821,1,1,0.166666667,2.95
2-mercaptobenzimidazole,C1=CC=C2C(=C1)NC(=S)N2,-0.330747578,0.152996779,-0.330747578,0.7,9.967957042,0,0,0,0,150.206,31.58,2,1,0,0,2.22549,2,1,0,2.49
histidine,C1=C(NC=N1)C[C@@H](C(=O)O)N,-0.480076978,0.235076684,-0.480076978,0.454545455,15.82417339,5.969305288,2,1,2,155.157,92,3,3,3,0,-0.6359,1,1,0.333333333,2.78
d-tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)O)N,-0.480077692,0.193748883,-0.480077692,0.6,15.82417339,5.969305288,1,1,2,204.229,79.11,3,2,3,0,1.1223,2,1,0.181818182,3.37
tetrafluorophthalonitrile,C(#N)C1=C(C(=C(C(=C1F)F)F)F)C#N,-0.202116505,0.17453885,-0.192273411,0.428571429,0,0,2,0,1,200.094,47.58,0,2,0,0,1.98636,1,0,0,3.42
tris(pentafluorophenyl)borane,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,-0.204098665,0.186821455,0,0.441176471,0,0,0,0,0,511.98,0,0,0,3,0,4.2893,3,0,0,2.35
2-thiophenecarboxamide,C1=CSC(=C1)C(=O)N,-0.364900398,0.183688738,-0.364900398,0.75,5.733667477,0,0,1,1,127.168,43.09,1,2,1,0,0.847,1,1,0,2.96
phenylacetonitrile,C1=CC=C(C=C1)CC#N,-0.19797459,0.073265624,-0.19797459,0.777777778,0,0,1,0,1,117.151,23.79,0,1,1,0,1.75268,1,0,0.125,3.08
2-naphthylacetonitrile,C1=CC=C2C=C(C=CC2=C1)CC#N,-0.197974588,0.061609192,-0.197974588,0.846153846,0,0,1,0,1,167.211,23.79,0,1,1,0,2.90588,2,0,0.083333333,2.21
4-aminobenzonitrile,C1=CC(=CC=C1C#N)N,-0.398727657,0.141436117,-0.398727657,0.666666667,5.733667477,0,2,0,1,118.139,49.81,1,2,0,0,1.14048,1,0,0,0.8
"1,8-octanedithiol-doped",C(CCCCS)CCCS,-0.179363901,0.057970758,0,1,0,0,0,0,0,178.366,0,2,2,7,0,3.1866,0,0,1,0.97
triphenylphosphine,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,-0.062222468,0.018247382,0,1,0,0,0,0,0,262.292,0,0,0,3,0,3.4448,3,0,0,1.86
"2,3,4,5,6-pentafluorobenzyl phosphonic acid",CC(C(C)(C)C)OP(=O)(C)OCC1=C(C(=C(C(=C1F)F)F)F)F,-0.305152394,0.18095025,-0.305152394,0.565217391,9.047494323,7.595762327,0,0,0,360.259,35.53,0,3,5,0,5.1728,1,0,0.571428571,2.06
1-methylimidazole,CN1C=CN=C1,-0.340567857,0.163020989,-0.340567857,0.333333333,4.567099648,0,2,0,1,82.106,17.82,0,1,0,0,0.4201,1,1,0.25,1.34
1-methylbenzimidazole,CN1C=NC2=CC=CC=C21,-0.333730112,0.131950637,-0.333730112,0.6,4.567099648,0,2,0,1,132.166,17.82,0,1,0,0,1.5733,2,1,0.125,1.74
2-(2-hydroxy-5-methylphenyl)benzotriazole,CC1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2,-0.505617502,0.145624438,-0.505617502,0.764705882,5.106527395,0,3,0,1,225.251,50.94,1,3,1,0,2.43452,3,1,0.076923077,1.2
4-trifluoromethyl-benzamidine hydrochloride,C1=CC(=CC=C1C(=N)N)C(F)(F)F.Cl,-0.383682131,0.184277303,-0.383682131,0.714285714,5.733667477,6.176298517,2,0,1,224.613,49.87,2,1,1,0,2.41127,1,0,0.125,2.07
benzotrifluoride,C1=CC=C(C=C1)C(F)(F)F,-0.16613755,0.162964589,0,0.8,0,6.176298517,0,0,0,146.111,0,0,0,0,0,2.7054,1,0,0.142857143,1.52
benzamidine hydrochloride,C1=CC=C(C=C1)C(=N)N.Cl,-0.383682133,0.137309919,-0.383682133,0.8,5.733667477,0,2,0,1,156.616,49.87,2,1,1,0,1.39247,1,0,0,1.18
"2,5-thiophene dicarboxylic acid ",C1=C(SC(=C1)C(=O)O)C(=O)O,-0.477049577,0.271290307,-0.477049577,0.636363636,10.21305479,11.93861058,0,2,1,172.161,74.6,2,3,2,0,1.1445,1,1,0,3.47
N-methyl-N-(thien-2-ylmethyl)amine,CNCC1=CC=CS1,-0.314876444,0.106746896,-0.314876444,0.75,5.316788604,0,1,0,1,127.212,12.03,1,2,2,0,1.4675,1,1,0.333333333,1.56
"1,3-diphenylurea",C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2,-0.307721816,0.14312428,-0.307721816,0.8125,10.63357721,6.031114512,0,2,1,212.252,41.13,2,1,2,0,3.3306,2,0,0,1.4
"1,3-ditert-butylurea",CC(C)(C)NC(=O)NC(C)(C)C,-0.333558358,0.169547465,-0.333558358,0.75,10.63357721,6.031114512,0,2,1,172.272,41.13,2,1,0,0,1.8826,0,0,0.888888889,0.9
thymine,CC1=CNC(=O)NC1=O,-0.313849907,0.224040391,-0.313849907,0.555555556,4.983978521,5.689743398,0,0,0,126.115,65.72,2,2,0,0,-0.62838,1,1,0.2,1.68
3-Ammonium Propionic Acid,C(CN)C(=O)O.I,-0.481195255,0.244525046,-0.481195255,0.571428571,10.84019487,5.969305288,1,1,2,217.006,63.32,2,2,2,0,0.0378,0,0,0.666666667,1.9
methylphosphonic acid,CP(=O)(O)O,-0.324614,0.2543505,-0.324614,0.6,9.786823206,7.595762327,0,0,0,96.022,57.53,2,1,0,0,-0.2061,0,0,1,1.57
di-5-(1-methyltetrazole) disulfide,CN1C(=NN=N1)SSC2=NN=NN2C,-0.22288152,0.124701156,-0.22288152,0.714285714,0,0,8,0,1,230.282,87.2,0,8,3,0,-0.467,2,2,0.5,2.77
4-bromo-benzonitrile,C1=CC(=CC=C1C#N)Br,-0.192437041,0.077003726,-0.192437041,0.666666667,0,0,1,0,1,182.02,23.79,0,1,0,0,2.32078,1,0,0,2.19
D-pentafluorophenylalanine,C(C1=C(C(=C(C(=C1F)F)F)F)F)[C@H](C(=O)O)N,-0.480077679,0.225079367,-0.480077679,0.470588235,10.84019487,5.969305288,1,1,2,255.142,63.32,2,2,3,0,1.3365,1,0,0.222222222,2.14
"3-ethylbenzo[d]isothiazole 1,1-dioxide",CCC1=NS(=O)(=O)C2=CC=CC=C21,-0.199251344,0.125241524,-0.199251344,0.692307692,0,0,0,0,0,195.243,46.5,0,2,1,0,1.588,2,1,0.222222222,2.39
trifluorothymine,C1=C(C(=O)NC(=O)N1)C(F)(F)F,-0.313497642,0.249689689,-0.313497642,0.583333333,4.983978521,11.86604192,0,0,0,180.085,65.72,2,2,0,0,0.082,1,1,0.2,1
artemisinin,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,-0.432028447,0.18010808,-0.432028447,0.6,9.473725908,5.969305288,0,1,1,282.336,53.99,0,5,0,0,2.3949,5,4,0.933333333,1.57
Artesunate,C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC(=O)CCC(=O)O)C,-0.481218929,0.204819809,-0.481218929,0.592592593,19.31711626,11.93861058,0,2,1,384.425,100.52,1,7,4,0,2.6024,5,4,0.894736842,1.48
Dihydroartemisinin ,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C,-0.367604464,0.161701677,-0.367604464,0.65,14.5802533,0,0,0,0,284.352,57.15,1,5,0,0,2.1867,5,4,1,-0.06
acetic acid,CC(=O)O,-0.481433475,0.294315703,-0.481433475,0.5,5.106527395,0,0,1,1,60.052,37.3,1,1,0,0,0.0909,0,0,0.5,1.76
pyridine,C1=CC=NC=C1,-0.264736971,0.097881397,-0.264736971,0.666666667,0,0,1,0,1,79.102,12.89,0,1,0,0,1.0816,1,1,0,-0.89
"2,2'-Bipyridine",C1=CC=NC(=C1)C2=CC=CC=N2,-0.25462112,0.105941259,-0.25462112,0.666666667,0,0,2,0,1,156.188,25.78,0,2,1,0,2.1436,2,2,0,1.44
"2,2':6',2''-Terpyridine",C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3,-0.25462064,0.108209988,-0.25462064,0.666666667,0,0,3,0,1,233.274,38.67,0,3,2,0,3.2056,3,3,0,1.1
Dithizone,C1=CC=C(C=C1)NNC(=S)N=NC2=CC=CC=C2,-0.298949373,0.114489154,-0.298949373,0.833333333,0,0,4,0,1,256.334,48.78,2,3,3,0,3.6719,2,0,0,2.71
Glycine,C(C(=O)O)N,-0.48029713,0.290724392,-0.48029713,0.6,10.84019487,5.969305288,1,1,2,75.067,63.32,2,2,1,0,-0.9703,0,0,0.5,2.07
4-chlorobenzoic acid,C1=CC(=CC=C1C(=O)O)Cl,-0.477639241,0.197755827,-0.477639241,0.7,5.106527395,5.969305288,0,1,1,156.568,37.3,1,1,1,0,2.0382,1,0,0,1.99
2-hydroxyethyl acrylate,C=CC(=O)OCCO,-0.460101417,0.252509522,-0.460101417,0.5,9.843390349,5.969305288,0,1,1,116.116,46.53,1,3,3,0,-0.2921,0,0,0.4,3.6
4-methoxyphenylacetic acid,COC1=CC=C(C=C1)CC(=O)O,-0.496768215,0.225494663,-0.496768215,0.666666667,9.843390349,5.969305288,0,1,1,166.176,46.53,1,2,3,0,1.3223,1,0,0.222222222,1.35
2-methylimidazole,CC1=NC=CN1,-0.348825792,0.164607296,-0.348825792,0.5,4.983978521,0,1,0,1,82.106,28.68,1,1,0,0,0.71812,1,1,0.25,1.97
perylenediimide,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)NC7=O)C(=O)NC2=O,-0.288141672,0.155789235,-0.288141672,0.666666667,0,0,0,4,1,390.354,92.34,2,4,0,0,3.5044,7,2,0,2.72
phenylbenzimidazole sulfonic acid,C1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)S(=O)(=O)O,-0.337914116,0.149502483,-0.337914116,0.684210526,4.983978521,0,1,0,1,274.301,83.05,2,3,2,0,2.4766,3,1,0,2.89
N-(4-acetylphenyl)maleimide,CC(=O)C1=CC=C(C=C1)N2C(=O)C=CC2=O,-0.294512186,0.166741209,-0.294512186,0.5625,0,0,0,3,1,215.208,54.45,0,3,2,0,1.3186,2,1,0.083333333,2.94
4-fluoroaniline,C1=CC(=CC=C1N)F,-0.398726079,0.150323877,-0.398726079,0.75,5.733667477,0,1,0,1,111.119,26.02,1,1,0,0,1.4079,1,0,0,2.63
Dithiooxamide,C(=S)(C(=S)N)N,-0.387524803,0.214224006,-0.387524803,0.666666667,11.46733495,0,2,0,1,120.202,52.04,2,2,0,0,-0.4414,0,0,0,2.48
4-hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,-0.507966219,0.194169539,-0.507966219,0.666666667,5.106527395,0,0,1,1,122.123,37.3,1,2,1,0,1.2047,1,0,0,2.05
l-glutathione,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,-0.480086286,0.255969316,-0.480086286,0.55,26.58029947,11.93861058,1,4,2,307.328,158.82,6,6,9,0,-2.2061,0,0,0.6,2.19
phenylacetonitrile,C1=CC=C(C=C1)CC#N,-0.19797459,0.073265624,-0.19797459,0.777777778,0,0,1,0,1,117.151,23.79,0,1,1,0,1.75268,1,0,0.125,3.08
2-naphthylacetonitrile,C1=CC=C2C=C(C=CC2=C1)CC#N,-0.197974588,0.061609192,-0.197974588,0.846153846,0,0,1,0,1,167.211,23.79,0,1,1,0,2.90588,2,0,0.083333333,2.21
"4-(N, N-Diphenylamino) benzaldehyde",C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=O,-0.310505919,0.098191522,-0.310505919,0.761904762,4.899909731,0,1,1,2,273.335,20.31,0,2,4,0,4.9689,3,0,0,2.43
4-Biphenylcarbaldehyde,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,-0.297896406,0.08776892,-0.297896406,0.857142857,0,0,0,1,1,182.222,17.07,0,1,2,0,3.1661,2,0,0,2.08
4-Acetylbiphenyl,CC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,-0.294512201,0.086585733,-0.294512201,0.866666667,0,0,0,1,1,196.249,17.07,0,1,2,0,3.5562,2,0,0.071428571,1.7
4-Aminobenzenesulfonic acid,C1=CC(=CC=C1N)S(=O)(=O)O,-0.398727713,0.180236204,-0.398727713,0.727272727,5.733667477,0,1,0,1,173.193,80.39,2,3,1,0,0.5155,1,0,0,2.6
sulfamide ,NS(=O)(=O)N,-0.215929171,0.191067834,-0.215929171,0.8,0,0,0,0,0,96.111,86.18,2,2,0,0,-1.8514,0,0,0,2.33
L-aspartate,C([C@@H](C(=O)O)N)C(=O)O,-0.481175383,0.297861952,-0.481175383,0.555555556,15.94672227,11.93861058,1,2,2,133.103,100.62,3,3,3,0,-1.127,0,0,0.5,2.24
tri(2-thienyl)benzene,C1=CSC(=C1)C2=CC(=CC(=C2)C3=CC=CS3)C4=CC=CS4,-0.143843637,0.051384224,0,0.857142857,0,0,0,0,0,324.495,0,0,3,3,0,6.8721,4,3,0,2.9
"2-[N,N-bi(trifluoromethylsulfonyl)amino]pyridine",C1=CC=NC(=C1)N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,-0.237185926,0.236815797,-0.237185926,0.714285714,0,31.06324331,1,0,1,358.241,84.41,0,5,3,0,1.5872,1,1,0.285714286,2.13
oteracil potassium,C1(=NC(=O)NC(=O)N1)C(=O)[O-].[K+],-0.541547015,0.423017245,-0.541547015,0.583333333,9.901064579,62.7640217,1,1,2,195.175,118.74,2,5,1,0,-6.1743,1,1,0,2.03
potassium cinnamate,C1=CC=C(C=C1)C=CC(=O)[O-].[K+],-0.545466972,0.365786031,-0.545466972,0.833333333,9.901064579,51.38453491,0,1,1,186.251,40.13,0,2,2,0,-2.5463,1,0,0,3.04
D-2-Aminobutanedioic acid,C(C(C(=O)O)N)C(=O)O,-0.481175383,0.297861952,-0.481175383,0.555555556,15.94672227,11.93861058,1,2,2,133.103,100.62,3,3,3,0,-1.127,0,0,0.5,2.1
"3,4,5,6-tetrafluorophthalic acid",C1(=C(C(=C(C(=C1F)F)F)F)C(=O)O)C(=O)O,-0.477541297,0.264090358,-0.477541297,0.5,10.21305479,11.93861058,0,2,1,238.092,74.6,2,2,2,0,1.6394,1,0,0,2.24
502 adhesive,CCOC(=O)C(=C)C#N,-0.461883828,0.226467791,-0.461883828,0.555555556,4.736862954,5.969305288,1,1,2,125.127,50.09,0,3,2,0,0.62928,0,0,0.333333333,2.82
"3,5-difluorobenzenesulfonamide",C1=C(C=C(C=C1F)S(=O)(=O)N)F,-0.224625316,0.158040215,-0.224625316,0.583333333,0,0,0,0,0,193.174,60.16,1,2,1,0,0.6122,1,0,0,2.33
"2,6-difluorobenzenesulfonamide",C1=CC(=C(C(=C1)F)S(=O)(=O)N)F,-0.224440964,0.16629788,-0.224440964,0.666666667,0,0,0,0,0,193.174,60.16,1,2,1,0,0.6122,1,0,0,1.36
2-chlorothiazole-4-carboxylic acid,C1=C(N=C(S1)Cl)C(=O)O,-0.476486705,0.240299842,-0.476486705,0.555555556,5.106527395,5.969305288,1,1,2,163.585,50.19,1,3,1,0,1.4947,1,1,0,2.72
"2,5-thiophenedicarboxylic acid",C1=C(SC(=C1)C(=O)O)C(=O)O,-0.477049577,0.271290307,-0.477049577,0.636363636,10.21305479,11.93861058,0,2,1,172.161,74.6,2,3,2,0,1.1445,1,1,0,2.89
phenylalanine,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,-0.4800777,0.193711507,-0.4800777,0.833333333,10.84019487,5.969305288,1,1,2,165.192,63.32,2,2,3,0,0.641,1,0,0.222222222,2.88
phenylphosphonic acid,C1=CC=C(C=C1)P(=O)(O)O,-0.321039149,0.189816056,-0.321039149,0.8,9.786823206,7.595762327,0,0,0,158.093,57.53,2,1,1,0,0.4896,1,0,0,3.07
"furan-2,5-dicarboxylic acid",C1=C(OC(=C1)C(=O)O)C(=O)O,-0.475372895,0.313757408,-0.475372895,0.636363636,14.63020573,11.93861058,0,2,1,156.093,87.74,2,3,2,0,0.676,1,1,0,2.6
l-glutathione,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,-0.480086286,0.255969316,-0.480086286,0.55,26.58029947,11.93861058,1,4,2,307.328,158.82,6,6,9,0,-2.2061,0,0,0.6,2.19
l-Theanine,CCNC(=O)CC[C@@H](C(=O)O)N,-0.480086286,0.236050238,-0.480086286,0.583333333,16.15698348,5.969305288,1,2,2,174.2,92.42,3,3,5,0,-0.6854,0,0,0.714285714,2.29
Malonamide,C(C(=O)N)C(=O)N,-0.369231444,0.256628143,-0.369231444,0.571428571,11.46733495,0,0,2,1,102.093,86.18,2,2,2,0,-1.6529,0,0,0.333333333,3.25
5-(Fmoc-amino) valeric acid,C1=CC=C2C(=C1)C(C3=CC=CC=C32)COC(=O)NCCCCC(=O)O,-0.481230383,0.186854922,-0.481230383,0.76,15.16017895,12.06254536,0,2,1,339.391,75.63,2,3,7,0,3.78,3,0,0.3,2.16
