name,SMILES
"3,5-bis(trifluoromethyl)benzoic acid",C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)C(=O)O
4-(aminomethyl) benzonitrile,C1=CC(=CC=C1CN)C#N
benzylammonium iodide,C1=CC=C(C=C1)CN.I
4-chlorobenzylammonium iodide,C1=CC(=CC=C1C[NH3+])Cl.[I-]
phenethylammonium iodide,C1=CC=C(C=C1)CCN.I
methyl 3-sulfamoylthiophene-2-carboxylate,COC(=O)C1=C(C=CS1)S(=O)(=O)N
2-mercaptobenzimidazole,C1=CC=C2C(=C1)NC(=S)N2
histidine,C1=C(NC=N1)C[C@@H](C(=O)O)N
d-tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)O)N
tetrafluorophthalonitrile,C(#N)C1=C(C(=C(C(=C1F)F)F)F)C#N
tris(pentafluorophenyl)borane,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F
2-thiophenecarboxamide,C1=CSC(=C1)C(=O)N
phenylacetonitrile,C1=CC=C(C=C1)CC#N
2-naphthylacetonitrile,C1=CC=C2C=C(C=CC2=C1)CC#N
4-aminobenzonitrile,C1=CC(=CC=C1C#N)N
"1,8-octanedithiol-doped",C(CCCCS)CCCS
triphenylphosphine,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3
"2,3,4,5,6-pentafluorobenzyl phosphonic acid",CC(C(C)(C)C)OP(=O)(C)OCC1=C(C(=C(C(=C1F)F)F)F)F
1-methylimidazole,CN1C=CN=C1
1-methylbenzimidazole,CN1C=NC2=CC=CC=C21
2-(2-hydroxy-5-methylphenyl)benzotriazole,CC1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2
4-trifluoromethyl-benzamidine hydrochloride,C1=CC(=CC=C1C(=N)N)C(F)(F)F.Cl
benzotrifluoride,C1=CC=C(C=C1)C(F)(F)F
benzamidine hydrochloride,C1=CC=C(C=C1)C(=N)N.Cl
"2,5-thiophene dicarboxylic acid ",C1=C(SC(=C1)C(=O)O)C(=O)O
N-methyl-N-(thien-2-ylmethyl)amine,CNCC1=CC=CS1
"1,3-diphenylurea",C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2
"1,3-ditert-butylurea",CC(C)(C)NC(=O)NC(C)(C)C
thymine,CC1=CNC(=O)NC1=O
3-Ammonium Propionic Acid,C(CN)C(=O)O.I
methylphosphonic acid,CP(=O)(O)O
di-5-(1-methyltetrazole) disulfide,CN1C(=NN=N1)SSC2=NN=NN2C
4-bromo-benzonitrile,C1=CC(=CC=C1C#N)Br
D-pentafluorophenylalanine,C(C1=C(C(=C(C(=C1F)F)F)F)F)[C@H](C(=O)O)N
"3-ethylbenzo[d]isothiazole 1,1-dioxide",CCC1=NS(=O)(=O)C2=CC=CC=C21
trifluorothymine,C1=C(C(=O)NC(=O)N1)C(F)(F)F
artemisinin,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C
Artesunate,C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC(=O)CCC(=O)O)C
Dihydroartemisinin ,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C
acetic acid,CC(=O)O
pyridine,C1=CC=NC=C1
"2,2'-Bipyridine",C1=CC=NC(=C1)C2=CC=CC=N2
"2,2':6',2''-Terpyridine",C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3
Dithizone,C1=CC=C(C=C1)NNC(=S)N=NC2=CC=CC=C2
Glycine,C(C(=O)O)N
4-chlorobenzoic acid,C1=CC(=CC=C1C(=O)O)Cl
2-hydroxyethyl acrylate,C=CC(=O)OCCO
4-methoxyphenylacetic acid,COC1=CC=C(C=C1)CC(=O)O
2-methylimidazole,CC1=NC=CN1
perylenediimide,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)NC7=O)C(=O)NC2=O
phenylbenzimidazole sulfonic acid,C1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)S(=O)(=O)O
N-(4-acetylphenyl)maleimide,CC(=O)C1=CC=C(C=C1)N2C(=O)C=CC2=O
4-fluoroaniline,C1=CC(=CC=C1N)F
Dithiooxamide,C(=S)(C(=S)N)N
4-hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O
l-glutathione,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
phenylacetonitrile,C1=CC=C(C=C1)CC#N
2-naphthylacetonitrile,C1=CC=C2C=C(C=CC2=C1)CC#N
"4-(N, N-Diphenylamino) benzaldehyde",C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=O
4-Biphenylcarbaldehyde,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O
4-Acetylbiphenyl,CC(=O)C1=CC=C(C=C1)C2=CC=CC=C2
4-Aminobenzenesulfonic acid,C1=CC(=CC=C1N)S(=O)(=O)O
sulfamide ,NS(=O)(=O)N
L-aspartate,C([C@@H](C(=O)O)N)C(=O)O
tri(2-thienyl)benzene,C1=CSC(=C1)C2=CC(=CC(=C2)C3=CC=CS3)C4=CC=CS4
"2-[N,N-bi(trifluoromethylsulfonyl)amino]pyridine",C1=CC=NC(=C1)N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F
oteracil potassium,C1(=NC(=O)NC(=O)N1)C(=O)[O-].[K+]
potassium cinnamate,C1=CC=C(C=C1)C=CC(=O)[O-].[K+]
D-2-Aminobutanedioic acid,C(C(C(=O)O)N)C(=O)O
"3,4,5,6-tetrafluorophthalic acid",C1(=C(C(=C(C(=C1F)F)F)F)C(=O)O)C(=O)O
502 adhesive,CCOC(=O)C(=C)C#N
"3,5-difluorobenzenesulfonamide",C1=C(C=C(C=C1F)S(=O)(=O)N)F
