name,SMILES,categorical,PCE_pristine(%),PCE_passivated(%),ΔPCE（%）,perovskite_type,DOI,article,
tetraisopropyl methylenediphosphonate,CC(C)OP(=O)(CP(=O)(OC(C)C)OC(C)C)OC(C)C,nip,18.05,19.13,1.08,Cs0.05FA0.8MA0.15Pb(I0.83Br0.17)3,DOI: 10.1002/adfm.201910710,Multifunctional Phosphorus‐Containing Lewis Acid and Base Passivation Enabling Efficient and Moisture‐Stable Perovskite Solar Cells,
tris(pentafluorophenyl) phosphine,C1(=C(C(=C(C(=C1F)F)P(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F)F)F)F,nip,18.05,21.04,2.99,Cs0.05FA0.8MA0.15Pb(I0.83Br0.17)3,DOI: 10.1002/adfm.201910710,Multifunctional Phosphorus‐Containing Lewis Acid and Base Passivation Enabling Efficient and Moisture‐Stable Perovskite Solar Cells,
"1,2,4‐triazole",C1=NC=NN1,nip,18.9,20.9,2,Cs0.05(FA0.85MA0.15)0.95Pb(I0.85Br0.15)3,DOI: 10.1002/adfm.201905190,Triamine‐Based Aromatic Cation as a Novel Stabilizer for Efficient Perovskite Solar Cells,
N-(4-bromophenyl)thiourea,C1=CC(=CC=C1NC(=S)N)Br,nip,19.3,21.7,2.4,(FAI)0.81(PbI2)0.85(MABr)0.15(PbBr2)0.15,DOI: 10.1039/c8ee02252f,Suppressing defects through the synergistic effect of a Lewis base and a Lewis acid for highly efficient and stable perovskite solar cells†,
morpholine,C1COCCN1,nip,20.88,21.58,0.7,FAPbI3,DOI: 10.1016/j.nanoen.2022.107200,Unraveling the role of active hydrogen caused by carbonyl groups in surface-defect passivation of perovskite photovoltaics,
"3,5-morpholone(Morpholine-3,5-dione)",C1C(=O)NC(=O)CO1,nip,20.88,22.84,1.96,FAPbI3,DOI: 10.1016/j.nanoen.2022.107200,Unraveling the role of active hydrogen caused by carbonyl groups in surface-defect passivation of perovskite photovoltaics,
3-morpholone,C1COCC(=O)N1,nip,20.88,23.05,2.17,FAPbI3,DOI: 10.1016/j.nanoen.2022.107200,Unraveling the role of active hydrogen caused by carbonyl groups in surface-defect passivation of perovskite photovoltaics,
2-methylbenzimidazole,CC1=NC2=CC=CC=C2N1,nip,19.5,21.6,2.1,Cs0.05(MA0.15FA0.85)0.95Pb(I0.85Br0.15)3,DOI: 10.1016/j.nanoen.2020.105127,Suppression of the interface-dependent nonradiative recombination by using 2-methylbenzimidazole as interlayer for highly efficient and stable perovskite solar cells,
4-aminopyridine,C1=CN=CC=C1N,nip,20.7,23.3,2.6,(FA0.73MA0.27)PbI3,DOI: 10.1016/j.cej.2022.137033,Lewis base governing superfacial proton behavior of hybrid perovskite: Basicity dependent passivation strategy,
Lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,nip,21.91,24.05,2.14,Cs0.05Rb0.05(FA0.83MA0.17)0.90Pb(I0.95Br0.05)3,DOI: 10.1016/j.cej.2022.137416,"Lansoprazole, a Cure-Four, Enables Perovskite Solar Cells Efficiency Exceeding 24%",
"1,8-Naphthyridine",C1=CC2=C(N=C1)N=CC=C2,nip,21.6,23.8,2.2,FAPbI3,DOI: 10.1016/j.cej.2022.137806,"Surface defect passivation by 1,8-Naphthyridine for efficient and stable Formamidinium-based 2D/3D perovskite solar cells",
hypoxanthine,C1=NC2=C(N1)C(=O)NC=N2,nip,20.42,22.14,1.72,(FA0.69MA0.31)Pb(I0.95Br0.05)3,DOI: 10.1016/j.cej.2022.135269,Reducing trap densities of perovskite films by the addition of hypoxanthine for high-performance and stable perovskite solar cells,
"3,5-Difluorophenylboronic acid",B(C1=CC(=CC(=C1)F)F)(O)O,nip,20.38,22.36,1.98,(FA0.69MA0.31)Pb(I0.95Br0.05)3,DOI: 10.1016/j.cej.2021.133744,"3,5-Difluorophenylboronic Acid-Modified SnO2 as ETLs for Perovskite Solar Cells: PCE > 22.3%, T82 > 3000 h",
adenine,C1=NC2=NC=NC(=C2N1)N,nip,20.07,21.17,1.1,(FAPbI3)0.85(MAPbBr3)0.15,DOI: 10.1016/j.cej.2022.139535,Regulating coordination by multi-configurational alkaloid-based passivation molecules for high-performance perovskite photovoltaics,
cytosine,C1=C(NC(=O)N=C1)N,nip,20.07,22.07,2,(FAPbI3)0.85(MAPbBr3)0.15,DOI: 10.1016/j.cej.2022.139535,Regulating coordination by multi-configurational alkaloid-based passivation molecules for high-performance perovskite photovoltaics,
thiourea ,C(=S)(N)N,nip,18.28,19.49,1.21,Cs0.06FA0.79MA0.15Pb(I0.85Br0.15)3,DOI: 10.1002/adfm.202009425,Manipulation of Perovskite Crystallization Kinetics via Lewis Base Additives,
thioacetamide ,CC(=S)N,nip,18.28,20.16,1.88,Cs0.06FA0.79MA0.15Pb(I0.85Br0.15)3,DOI: 10.1002/adfm.202009425,Manipulation of Perovskite Crystallization Kinetics via Lewis Base Additives,
dimethyl sulfide ,CSC,nip,18.28,17.83,-0.45,Cs0.06FA0.79MA0.15Pb(I0.85Br0.15)3,DOI: 10.1002/adfm.202009425,Manipulation of Perovskite Crystallization Kinetics via Lewis Base Additives,
Malonamide,C(C(=O)N)C(=O)N,nip,20.88,24.13,3.25,((FA0.95Cs0.05)PbI3)0.975(MAPbBr3)0.025,DOI: 10.1016/j.cej.2022.138559,Improved performance and stability of perovskite solar cells by iodine-immobilizing with small and flexible bis(amide) molecule,
3-Thiopheneboronic acid,B(C1=CSC=C1)(O)O,nip,19.74,21.8,2.06,(FAPbI3)0.93(MAPbBr3)0.07,DOI: 10.1016/j.cej.2022.135134,Collaborative strengthening by multi-functional molecule 3-thiophenboric acid for efficient and stable planar perovskite solar cells,
formamid,C(=O)N,nip,19.16,19.33,0.17,Cs0.025FA0.825MA0.15Pb(I0.85Br0.15)3,DOI: 10.1016/j.cej.2020.127204,Tailoring Multifunctional Passivation Molecules with Halogen Functional Groups for Efficient and Stable Perovskite Photovoltaics,
d benzylamine,C1=CC=C(C=C1)CN,nip,19.16,19.81,0.65,Cs0.025FA0.825MA0.15Pb(I0.85Br0.15)3,DOI: 10.1016/j.cej.2020.127204,Tailoring Multifunctional Passivation Molecules with Halogen Functional Groups for Efficient and Stable Perovskite Photovoltaics,
