name,SMILES,categorical,PCE_pristine(%),PCE_passivated(%),ΔPCE（%）,perovskite_type,DOI,article,
sulfamide ,NS(=O)(=O)N,nip,22.3,24.63,2.33,FAPbI3,https://doi.org/10.1002/adma.202300174,Intrinsic Dipole Arrangement to Coordinate Energy Levels for Efficient and Stable Perovskite Solar Cells,
L-aspartate,C([C@@H](C(=O)O)N)C(=O)O,nip,21.5,23.74,2.24,Cs0.05FA0.90MA0.05PbI2.90Br0.10,https://doi.org/10.1002/adfm.202204725,Robust Interfacial Modifier for Efficient Perovskite Solar Cells: Reconstruction of Energy Alignment at Buried Interface by Self-Diffusion of Dopants,
tri(2-thienyl)benzene,C1=CSC(=C1)C2=CC(=CC(=C2)C3=CC=CS3)C4=CC=CS4,nip,19.56,22.46,2.9,FAPbI3,https://doi.org/10.1016/j.cej.2023.142449,Effect of molecular configuration of additives on perovskite crystallization and hot carriers behavior in perovskite solar cells,
"2-[N,N-bi(trifluoromethylsulfonyl)amino]pyridine",C1=CC=NC(=C1)N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,nip,20.74,22.9,2.13,FAPbI 3,https://doi.org/10.1016/j.cej.2022.139345,"All-in-one additive enables defect passivated, crystallization modulated and moisture resisted perovskite films toward efficient solar cells",
oteracil potassium,C1(=NC(=O)NC(=O)N1)C(=O)[O-].[K+],nip,20.06,22.09,2.03,Rb0.02(FA0.95Cs0.05)0.98PbI2.91Br0.03Cl0.06,https://doi.org/10.1016/j.cej.2022.135671,Highly efficient and low hysteresis methylammonium-free perovskite solar cells based on multifunctional oteracil potassium interface modification,
potassium cinnamate,C1=CC=C(C=C1)C=CC(=O)[O-].[K+],nip,18.96,22,3.04,Cs0.12FA0.63MA0.26PbI2.23Br0.29Cl0.48,https://doi.org/10.1002/ente.202200125,Multifunctional Additive of Potassium Cinnamate Improve Crystallization and Passivate Defect for Perovskite Solar Cell with Efficiency Exceeding 22%,
D-2-Aminobutanedioic acid,C(C(C(=O)O)N)C(=O)O,nip,20.6,22.7,2.1,MA0.27FA0.73PbI2.64Br0.06Cl0.3,https://doi.org/10.1002/solr.202200998,Natural Product Additive with Multifunctional Groups Enhancing the Efficiency and Stability of Perovskite Solar Cells,
"3,4,5,6-tetrafluorophthalic acid",C1(=C(C(=C(C(=C1F)F)F)F)C(=O)O)C(=O)O,nip,21.46,23.7,2.24,FA0.85MA0.15PbI3,https://doi.org/10.1002/solr.202201025,Molecule Passivation of Grain Boundaries for Ultra-Stable Perovskite Solar Cells,
502 adhesive,CCOC(=O)C(=C)C#N,nip,17.3,20.12,2.82,Cs0.05(FA0.83MA0.17)0.95Pb(I0.84Br0.16)3,https://doi.org/10.1002/solr.202300105,Self-Healing Perovskite Grain Boundaries in Efficient and Stable Solar Cells via Incorporation of 502 Adhesive,
"3,5-difluorobenzenesulfonamide",C1=C(C=C(C=C1F)S(=O)(=O)N)F,nip,21.36,23.69,2.33,FA0.68MA0.32Pb(I0.91Br0.09)3,https://doi.org/10.1002/solr.202300028,Two Birds with One Stone: Dual-Functional Difluorinated Modifier Enabling Efficient and Stable Perovskite Solar Cells,
"2,6-difluorobenzenesulfonamide",C1=CC(=C(C(=C1)F)S(=O)(=O)N)F,nip,21.36,22.72,1.36,FA0.68MA0.32Pb(I0.91Br0.09)3,https://doi.org/10.1002/solr.202300028,Two Birds with One Stone: Dual-Functional Difluorinated Modifier Enabling Efficient and Stable Perovskite Solar Cells,
2-chlorothiazole-4-carboxylic acid,C1=C(N=C(S1)Cl)C(=O)O,nip,19.83,22.55,2.72,(FAPbI3)0.95(MAPbBr3)0.05,doi.org/10.1002/cssc.202202092,Multifunctional Molecule Assists Passivate Method to Simultaneously Improve the Efficiency and Stability of Perovskite Solar Cells,
"2,5-thiophenedicarboxylic acid",C1=C(SC(=C1)C(=O)O)C(=O)O,nip,19.96,22.85,2.89,(FAPbI3)0.875(MAPbBr3)0.075(CsPbI3)0.05(PbI2)0.03,https://doi.org/10.1002/eom2.12313,Slowing the hot-carrier cooling by an organic small molecule in perovskite solar cells,
phenylalanine,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,nip,19.07,21.95,2.88,Cs0.1FA0.9PbI3,https://doi.org/10.1002/smtd.202200669,Natural Amino Acid Enables Scalable Fabrication of High-Performance Flexible Perovskite Solar Cells and Modules with Areas over 300 cm2,
phenylphosphonic acid,C1=CC=C(C=C1)P(=O)(O)O,nip,18.95,22.02,3.07,FA0.85Cs0.15PbI3,https://doi.org/10.1016/j.solmat.2023.112278,Molecular doping mechanism for efficient and stable formamidine-cesium perovskite solar cells,
"furan-2,5-dicarboxylic acid",C1=C(OC(=C1)C(=O)O)C(=O)O,nip,21.47,24.07,2.6,FA0.9Cs0.07MA0.03Pb(I0.92Br0.08)3,https://doi.org/10.1021/acssuschemeng.2c07584,Chemical Chelation-Assisted Highly Oriented Perovskite Solar Cells with Reduced Non-radiative Loss,
l-glutathione,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,nip,19.47,21.66,2.19,Cs0.06FA0.79MA0.15PbI2.73Br0.27,https://doi.org/10.1016/j.solmat.2022.112088,Dual passivation of SnO2/Perovskite heterogeneous interfacial defects for efficient perovskite solar cells,
l-Theanine,CCNC(=O)CC[C@@H](C(=O)O)N,nip,22.29,24.58,2.29,FA0.85MA0.15PbI3,https://doi.org/10.1002/aenm.202203190,Plant-Derived l-Theanine for Ultraviolet/Ozone Resistant Perovskite Photovoltaics,
Malonamide,C(C(=O)N)C(=O)N,nip,20.88,24.13,3.25,((FA0.95Cs0.05)PbI3)0.975(MAPbBr3)0.025,https://doi.org/10.1016/j.cej.2022.138559,Improved performance and stability of perovskite solar cells by iodine-immobilizing with small and flexible bis(amide) molecule,
5-(Fmoc-amino) valeric acid,C1=CC=C2C(=C1)C(C3=CC=CC=C32)COC(=O)NCCCCC(=O)O,nip,19.05,21.21,2.16,Cs0.05(MA0.15FA0.85)0.95Pb(I0.85Br0.15)3 ,https://doi.org/10.1016/j.orgel.2020.105982,High efficiency and stability of perovskite solar cells from π-conjugated 5-(Fmoc-amino) valeric acid modification,
