name,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3,delta_PCE
hypotaurine,C(CS(=O)O)N,-0.329469085,0.329469085,0.188569941,0.483042517,-0.329469085,0.5,10.28641735,0,1,0,1,109.15,63.32,2,2,2,6,0,44,-0.8332,24.6926,0,0,0,1,1.28
β-alanine(beta-alanine),C(CN)C(=O)O,-0.481195255,0.481195255,0.264095142,0.78532047,-0.481195255,0.5,10.84019487,5.969305288,1,1,2,89.094,63.32,2,2,2,6,0,44,-0.5802,21.3072,0,0,0,0.666666667,0.8
2-hydroxy-4-methoxybenzophenone,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,-0.507040687,0.507040687,0.192168228,0.703284494,-0.507040687,0.588235294,9.843390349,0,0,1,1,228.247,46.53,1,3,3,17,0,520.9895035,2.6318,64.5333,2,2,0,0.071428571,3.27
Indigo dye ,C1=CC=C2C(=C1)C(=C(N2)C3=NC4=CC=CC=C4C3=O)O,-0.504968085,0.504968085,0.174208549,0.720293725,-0.504968085,0.6,10.09050592,0,1,1,2,262.268,65.45,2,3,1,20,0,871.9446315,3.1906,76.933,4,3,2,0,3.04
[2-(9H-carbazol-9-yl)ethyl]phosphonic acid,C1=CC=C2C(=C1)C3=CC=CC=C3N2CCP(=O)(O)O,-0.339821981,0.339821981,0.156800457,0.666677416,-0.339821981,0.631578947,14.35392285,7.595762327,1,0,1,275.244,62.46,2,1,3,19,0,711.6884808,2.9722,76.3551,3,3,1,0.142857143,1.5
octylphosphonic acid,CCCCCCCCP(=O)(O)O,-0.324422009,0.325061927,0.167791595,0.649483936,-0.324422009,0.833333333,9.786823206,7.595762327,0,0,0,194.211,57.53,2,1,7,12,0,126.9737366,2.5246,50.2871,0,0,0,1,0.8
2-fluoroethylamine,C(CF)N,-0.327998518,0.327998518,0.179532821,0.429609864,-0.327998518,0.5,5.733667477,0,1,0,1,63.075,26.02,1,1,1,4,0,2,-0.0854,15.0294,0,0,0,1,1.12
"2,2-difluoroethylamine",C(C(F)F)N,-0.325486895,0.325486895,0.209900654,0.57565815,-0.325486895,0.6,5.733667477,0,1,0,1,81.065,26.02,1,1,1,5,0,14,0.2102,15.0584,0,0,0,1,0.84
"2, 2, 2-trifluoroethylamine",C(C(F)(F)F)N.Cl,-0.322752642,0.400388257,0.222434473,0.723140899,-0.322752642,0.714285714,5.733667477,6.176298517,1,0,1,135.516,26.02,1,1,0,7,0,29.7931939,0.9292,22.3574,0,0,0,1,0.7
11-Maleimidoundecanoic acid,C1=CC(=O)N(C1=O)CCCCCCCCCCC(=O)O,-0.48123039,0.48123039,0.18772003,0.784069946,-0.48123039,0.65,5.106527395,5.969305288,0,3,1,281.352,74.68,1,3,11,20,0,338.2346001,2.5069,75.0488,1,0,1,0.666666667,4.54
pentafluorophenyl acrylate,C=CC(=O)OC1=C(C(=C(C(=C1F)F)F)F)F,-0.416820518,0.416820518,0.224122154,0.752072349,-0.416820518,0.5,4.736862954,5.969305288,0,1,1,238.111,26.3,0,2,2,16,0,418.5914941,2.4735,42.064,1,1,0,0,2.2
(pentaerythritol tetrakis (3-mercaptopropionate),C(CS)C(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-0.464638671,0.464638671,0.234952664,0.770773585,-0.464638671,0.413793103,18.94745182,23.87722115,0,4,1,488.671,105.2,4,12,16,29,0,396.657925,1.4252,120.149,0,0,0,0.764705882,2.4
3-hexylthiophene,CCCCCCC1=CSC=C1,-0.152155515,0.152155515,0.036951416,0.146029452,0,1,0,0,0,0,0,168.305,0,0,1,5,11,0,160.1738077,3.8709,52.165,1,1,1,0.6,1.81
adamantane,C1C2CC3CC1CC(C2)C3,-0.047549692,0.047549692,0.003386375,0.00691241,0,1,0,0,0,0,0,136.238,0,0,0,0,10,0,91.58797504,2.8326,41.662,4,0,0,1,1.15
1-adamantylamine,C1C2CC3CC1CC(C2)(C3)N,-0.325030481,0.325030481,0.085354671,0.341214593,-0.325030481,0.909090909,5.733667477,0,1,0,1,151.253,26.02,1,1,0,11,0,145.1931192,1.9139,45.0904,4,0,0,1,1.61
trimethylolpropane triacrylate,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,-0.461674306,0.461674306,0.235208642,0.791336924,-0.461674306,0.523809524,14.21058886,17.90791586,0,3,1,296.319,78.9,0,6,10,21,0,345.9407101,1.5704,76.192,0,0,0,0.4,2.1
2-adamantanone,C1C2CC3CC1CC(C2)C3=O,-0.299087986,0.299087986,0.098090455,0.437669084,-0.299087986,0.727272727,0,0,0,1,1,150.221,17.07,0,1,0,11,0,172.08385,2.0116,42.052,4,0,0,0.9,1.12
