Compound_CID,SMILES
10428711,CC1=CC(=O)NN=C1N2C=C(C(=N2)C3=CC=C(C=C3)F)C4=CC(=NC=C4)N
167725686,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=C(C=C3)CNCC4=NC=C(C=C4)N
72217737,CC(=O)C1=NC(=C(C=C1)N)C=O
75596177,C1=CC(=CN=C1)C(=NN)N.Cl.Cl
73449487,CCC1=CC=C(C=C1)C(=O)C=C[N+]2=CC=CC=C2N.[Cl-]
53417815,C1CNC(=O)CC1C2=NC=CC(=C2)N
158640840,CC(=O)C1=CC(=C(C=C1)OC)OC.COC1=C(C=C(C=C1)C(=O)NC2=NC=CC(=C2)C3=NC4=CC=CC=C4O3)OC.C1=CC=C(C(=C1)N)O.C1=CC=C2C(=C1)N=C(O2)C3=CC(=NC=C3)N.C1=CN=C(C=C1C(=O)O)N
63154032,C1CC1COC(=O)C2=CC(=CN=C2)N
165593082,C1C(C(CN1)O)C2=C(N=CC=C2)N
69575720,COCCOCCOC1=C(C=CC(=C1)N)N.C1=CC(=C(N=C1)N)O
117652883,CCOC(=O)C1=NC=C(C=C1)NC2=C(C=CC=N2)N
161892635,[2H]CP.[Li+].CCOC(=O)CC(C1=CN=C(C=C1)OC)N2C=CC(=N2)CCCC(C)O.CCOC(=O)CC(C1=CN=C(C=C1)OC)N2C=CC(=N2)CCCC(=O)C.CCOC(=O)CC(C1=CN=C(C=C1)OC)N2C=CC(=N2)C#CCC(C)O.CCOC(=O)CC(C1=CN=C(C=C1)OC)N2C=CC(=N2)Br.CCOC(=O)CP(=O)(C)OCC.CCOC(=O)/C=C/C1=CN=C(C=C1)OC.CC(CC#C)O.COC1=NC=C(C=C1)C=O.COC1=NC=C(C=C1)C(CC(=O)O)N2C=CC(=N2)CCCC3=NC4=C(CCCC4)C=C3.C1CCNC1.C1=CC(=C(N=C1)N)C=O.C1=C(NN=C1)Br.[OH-]
89813788,CC1([C@@H](N(C(=O)O1)C2=CC=C(C=C2)C3=CN=C(C=C3)N)C4=CC=CC=C4)C
66069030,CC1(C(=O)NC(=O)CN1C(=O)C2=C(N=CC=C2)N)C
56777411,CC(C)(C)OC(=O)NC1=CC=CC(=C1)C2=CN=C(C=C2)N
53967881,C1C(=C(N2[C@@H](S1)[C@@H](C2=O)N)C(=O)O)C[N+]3=CC=CC(=C3)N
133127772,C1C[C@H]2CN(C[C@@H]1C(=O)N2CC3=CC=CC=N3)C(=O)C4=CN=C(C=C4)N
90045230,CC#C[C@H]1CN(CCN1C2=CC=C(C=C2)[C@](CN)(C(F)(F)F)O)S(=O)(=O)C3=CN=C(C=C3)N
59781131,CC1=CC(=C(N=C1)NC2=CC(=C(C=C2)OC3=CC(=NC=C3)N)F)C(=O)NC4=CC=CC=C4
118905546,C1CC1NC2=NC(=NC=C2C(F)(F)F)NC3=C(C=CN=C3)N
25219900,C1=CC(=C(N=C1)N)/C=N/NC(=S)N
86705258,CCO[C@@H]1[C@@H](C[C@@H](C[C@@H]1NC(=O)OC(C)(C)C)C2=C(C=NC=C2)N)C
157011282,C1=CC(=NC=C1C2=CN=CC(=N2)N)N
161450151,CC(=O)NC1=NC=C(C=C1)C(=O)OC.COC(=O)C1=CN=C(C=C1)N.COC(=O)C1=CN(C(=O)C=C1)C(F)F.C1=CC(=O)N(C=C1C(=O)O)C(F)F
117780978,C1CN(CCC1(F)F)C(=O)C2=CN=C(C=C2)C3=CC(=C4C(=C3)C=C(O4)CNC(=O)/C=C/C5=CN=C(C=C5)N)C6=CC7=CC=CC=C7O6
81694791,C1CN(C(C(=O)N1)CC(=O)O)C(=O)C2=NC=C(C=C2)N
104741911,C1[C@H](N(CS1)C(=O)C2=C(C=CC=N2)N)C(=O)O
105623841,C1CC[C@@H]2[C@H](C1)CCCN2C3=NC=C(C(=C3)C(=O)O)N
114406933,C1CC2COC(CN2C1)CNC3=C(C=CC(=N3)C(=O)O)N
134263734,CC1=C(C=C(C=C1)NC(=O)C2=CC(=C(C=C2)N3CCN(CC3)C)C(F)(F)F)C4=CC5=C(C=C4)C=CN5C6=CC(=NC=C6)N
23564158,C1=CN=C(C=C1N)CO
68261205,CC(=O)N1CCCC2C1CN(C2)C(=O)C3=CN=C(C=C3)N
157023363,C[Si](C)(C)CCOC(=O)C1=CN=C(C=C1)N
68425010,B(C(CC1=C(C(=CC=C1)C(=O)O)O)NC(=O)C2=CC(=NC=C2)N)(O)O
122571344,CC1=C2CCCCC2=NC(=N1)CNC(=O)C3=CC=C(C=C3)C4=C(C=NC=C4)N
162561373,C1=CC(=C(N=C1)N)C(=N)C2=C(C=CC(=N2)NC3=CC4=C(C=C3)N=CN4)C(F)(F)F
108161685,C1CC2C(C1)OCCN2C3=C(C=C(C=N3)N)C(=O)O
136597223,CC(=O)[O-].C1CC(C1)(C2=NOC(=C2)NC(=O)CC3=CC=C(C=C3)C4=C[NH+]=C(C=C4)N)F
90812576,CC.COC(=O)C1=CC(=NC=C1)N
71746788,CCOC(=O)C1=C(C2=C(C=C1C)N=C(N(C2=O)C3=CC=CC=C3S(=O)(=O)NC)COC(=O)NCCOC(=O)C4=C(N=CC=C4)N)C
137370,CC1=NC(=CC=C1)N.[Cl-].[Cl-].[Pd+2]
21955059,C1=CC(=NC=C1N)N(CCO)CCO
86693025,COC(=O)CC1=NC(=CC=C1)N.C1=CC=C(C=C1)C(=NC2=CC=CC(=N2)CC(=O)O)C3=CC=CC=C3
81440047,C1CCC2CN(CCC2C1)C3=C(C=C(C=N3)C(=O)O)N
71605226,CN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=NN(C(=C3)C#CC4=CN=C(C=C4)N)C)C(F)(F)F
54285602,C1CCN(C(C1)N2CCC(CC2)N3C4=CC=CC=C4NC3=O)C(=O)C5=C(C=CN=C5)N
114195189,C1CC2CCCN(C2C1)C3=CN=C(C=C3C(=O)N)N
118284837,CC(C)(C)OC(=O)N1CCC[C@H](C1)COC2=NC=C(C=C2)N
73449489,C1=CC=[N+](C(=C1)N)C=CC(=O)C2=CC=C(C=C2)F.[Cl-]
