N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,MolecularWeight,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3,delta_PCE
-0.505795795,0.72,21.68038974,12.35259703,2,1,366.261,4,4,2,3.6729,2,0,0.2,3.47
-0.381428973,0.75,10.47053043,0,1,1,115.176,1,2,1,0.3717,1,1,1,1.66
0,0.8,0,0,0,0,92.569,0,0,2,2.0253,0,0,1,0.79
-0.323528859,0.625,29.36046962,22.78728698,1,1,299.049,6,4,6,-1.306,0,0,1,2.53
-0.47807075,0.5,10.21305479,11.93861058,0,1,116.072,2,2,2,-0.2882,0,0,0,1.3
-0.744035769,0.75,4.552749874,29.55728603,0,0,194.187,0,3,1,-2.09688,1,0,0.142857143,1.35
-0.192437046,0.904761905,0,0,1,1,277.411,0,1,7,5.73818,2,0,0.35,3.05
0,0.441176471,0,0,0,0,511.98,0,0,3,4.2893,3,0,0,2.05
-0.481230228,0.555555556,10.21305479,11.93861058,0,1,132.115,2,2,4,0.3259,0,0,0.6,2.37
-0.154726243,0.666666667,0,18.23452154,3,1,135.048,0,3,0,0.2889,1,1,0,1.84
-0.367590743,0.666666667,17.20100243,0,6,1,126.123,3,6,0,-1.3818,1,1,0,1.35
-0.258986688,0.666666667,0,17.06923019,0,0,129.075,3,3,0,-2.2485,1,1,0,0.66
-0.186832365,0.666666667,0,0,3,1,184.413,0,3,0,1.8318,1,1,0,1.35
-0.309268954,0.666666667,14.95193556,0,0,0,177.279,3,3,0,1.85937,1,1,0,-5.24
-0.778623779,0.769230769,14.35187149,51.38453491,0,0,232.301,1,2,7,-1.1034,0,0,1,2.8
-0.477638947,0.647058824,5.106527395,18.32190232,0,1,258.117,1,1,1,3.4224,1,0,0.222222222,2.64
-0.326497495,0.7,5.733667477,0,2,1,132.166,1,2,1,1.01698,1,0,0.125,3.37
-0.326497507,0.888888889,5.733667477,0,1,1,235.068,1,1,1,1.7633,1,0,0.142857143,1.6
-0.353808314,0.7,29.7103076,0,1,1,269.513,1,0,1,-1.9141,1,0,0.142857143,-0.48
-0.330142607,1,5.733667477,0,1,1,249.095,1,1,2,1.8058,1,0,0.25,-1.97
-0.464796453,0.615384615,4.736862954,5.969305288,0,1,221.259,1,5,2,0.1821,1,1,0.166666667,2.95
-0.330747578,0.7,9.967957042,0,0,0,150.206,2,1,0,2.22549,2,1,0,2.49
-0.480076978,0.454545455,15.82417339,5.969305288,2,2,155.157,3,3,3,-0.6359,1,1,0.333333333,2.78
-0.480077692,0.6,15.82417339,5.969305288,1,2,204.229,3,2,3,1.1223,2,1,0.181818182,3.37
-0.192273411,0.428571429,0,0,2,1,200.094,0,2,0,1.98636,1,0,0,3.42
0,0.441176471,0,0,0,0,511.98,0,0,3,4.2893,3,0,0,2.35
-0.364900398,0.75,5.733667477,0,0,1,127.168,1,2,1,0.847,1,1,0,2.96
-0.19797459,0.777777778,0,0,1,1,117.151,0,1,1,1.75268,1,0,0.125,3.08
-0.197974588,0.846153846,0,0,1,1,167.211,0,1,1,2.90588,2,0,0.083333333,2.21
-0.398727657,0.666666667,5.733667477,0,2,1,118.139,1,2,0,1.14048,1,0,0,0.8
0,1,0,0,0,0,178.366,2,2,7,3.1866,0,0,1,0.97
0,1,0,0,0,0,262.292,0,0,3,3.4448,3,0,0,1.86
-0.305152394,0.565217391,9.047494323,7.595762327,0,0,360.259,0,3,5,5.1728,1,0,0.571428571,2.06
-0.340567857,0.333333333,4.567099648,0,2,1,82.106,0,1,0,0.4201,1,1,0.25,1.34
-0.333730112,0.6,4.567099648,0,2,1,132.166,0,1,0,1.5733,2,1,0.125,1.74
-0.505617502,0.764705882,5.106527395,0,3,1,225.251,1,3,1,2.43452,3,1,0.076923077,1.2
-0.383682131,0.714285714,5.733667477,6.176298517,2,1,224.613,2,1,1,2.41127,1,0,0.125,2.07
0,0.8,0,6.176298517,0,0,146.111,0,0,0,2.7054,1,0,0.142857143,1.52
-0.383682133,0.8,5.733667477,0,2,1,156.616,2,1,1,1.39247,1,0,0,1.18
-0.477049577,0.636363636,10.21305479,11.93861058,0,1,172.161,2,3,2,1.1445,1,1,0,3.47
-0.314876444,0.75,5.316788604,0,1,1,127.212,1,2,2,1.4675,1,1,0.333333333,1.56
-0.307721816,0.8125,10.63357721,6.031114512,0,1,212.252,2,1,2,3.3306,2,0,0,1.4
