Dipole_Debye,Polarizability_au,HOMO_eV,LUMO_eV,Gap_eV,Molecule
3.437,,-10.8353,-6.511,4.324298911558,Mol_62
8.065,,-9.5807,-7.2643,2.316472713014,Mol_63
1.739,,-9.7355,-0.0572,9.678285575706,Mol_64
2.182,,-11.4229,-8.0123,3.410636394347,Mol_65
4.798,,-10.8118,-6.2387,4.573060382054,Mol_66
4.386,,-10.1355,-6.4617,3.673857943259,Mol_67
4.595,,-9.8802,-6.3323,3.547837956853,Mol_68
2.226,,-10.3831,-7.2552,3.127896446003,Mol_69
5.524,,-9.7669,-6.8207,2.946178221099,Mol_7
4.767,,-9.8035,-8.2204,1.583081779749,Mol_70
1.695,,-10.6724,-7.2521,3.420304830205,Mol_71
0.691,,-11.527,-7.2908,4.23614064503,Mol_72
8.378,,-10.0466,-7.2513,2.795331942638,Mol_73
9.697,,-10.4078,-7.332,3.075716289016,Mol_74
6.686,,-9.2952,-6.3898,2.905419188837,Mol_75
6.14,,-9.3614,-7.0469,2.314514554654,Mol_76
2.583,,-9.679,-5.3441,4.334975427613,Mol_77
4.527,,-10.9813,-6.2226,4.758754461635,Mol_78
1.561,,-10.6276,-6.9867,3.640899545234,Mol_79
5.709,,-10.4267,-8.2192,2.207551839795,Mol_8
4.934,,-11.1254,-6.1039,5.021479944123,Mol_80
1.321,,-9.9894,-6.1231,3.866283559696,Mol_81
4.81,,-10.7575,-7.1149,3.642556312574,Mol_82
4.513,,-10.9451,-7.3687,3.576410401846,Mol_83
4.414,,-10.8902,-7.359,3.531143829451,Mol_84
3.744,,-10.9407,-9.0675,1.873179561257,Mol_85
0.078,,-9.9325,-7.2085,2.723953581609,Mol_86
4.775,,-11.8217,-9.8064,2.015290114831,Mol_87
5.884,,-12.6219,-9.8868,2.735114842093,Mol_88
0.117,,-11.7949,-8.0489,3.746022316344,Mol_89
0.233,,-11.2707,-6.9215,4.349156486568,Mol_9
1.269,,-11.9328,-7.1683,4.76449182324,Mol_90
4.669,,-10.9368,-5.1828,5.754039541079,Mol_91
18.519,,-2.9734,-1.9106,1.062857038758,Mol_92
,,-2.8129,-2.399,,Mol_93
24.134,,-3.1906,-2.7258,0.464824067164,Mol_94
2.305,,-11.3947,-7.7733,3.621402990026,Mol_95
,,,,,Mol_96
7.544,,-10.6925,-10.6418,0.050705751464,Mol_97
7.204,,-10.9249,-10.7297,0.195198280817,Mol_98
14.673,,-6.153,-4.6498,1.503170583923,Mol_99
