Dipole_Debye,Polarizability_au,HOMO_eV,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3,delta_PCE
4.798,62.097396,-10.8118,-0.369813236,0.428571429,10.05365156,0,0,1,1,2,0,-0.8672,1,1,0.75,2.17
4.386,101.000261,-10.1355,-0.342214401,0.7,4.983978521,0,1,1,1,1,0,1.87132,2,1,0.125,2.1
4.595,72.203983,-9.8802,-0.398638991,0.571428571,5.733667477,0,2,1,1,2,0,0.6638,1,1,0,2.6
2.226,226.960896,-10.3831,-0.483723718,0.56,9.720841475,6.176298517,2,1,1,4,5,3.51522,3,2,0.25,2.14
4.767,98.528672,-9.8035,-0.236640568,0.6,0,0,2,1,0,2,0,1.6298,2,2,0,2.2
1.695,84.873454,-10.6724,-0.338674824,0.5,9.967957042,0,2,1,2,3,0,-0.3538,2,2,0,1.72
0.691,89.16324,-11.527,-0.423174856,0.636363636,10.04804515,7.118392334,0,0,2,2,1,-0.3554,1,0,0,1.98
8.378,89.373031,-10.0466,-0.381798268,0.5,10.717646,0,4,1,2,4,0,-0.0649,2,2,0,1.1
9.697,72.10729,-10.4078,-0.385103472,0.625,5.733667477,5.689743398,2,1,2,3,0,-0.6479,1,1,0,2
6.686,51.340118,-9.2952,-0.376505715,0.75,11.46733495,0,2,1,2,1,0,-0.8113,0,0,0,1.21
6.14,53.741925,-9.3614,-0.39355196,0.75,5.733667477,0,1,1,1,1,0,0.2924,0,0,0.5,1.88
2.583,48.020903,-9.679,0,1,0,0,0,0,0,1,0,0.9792,0,0,1,-0.45
4.527,61.209105,-10.9813,-0.369231444,0.571428571,11.46733495,0,0,1,2,2,2,-1.6529,0,0,0.333333333,3.25
1.561,85.631683,-10.6276,-0.423158785,0.875,10.04804515,7.118392334,0,0,2,3,1,-0.5721,1,1,0,2.06
4.934,27.619695,-11.1254,-0.37226357,0.666666667,5.733667477,0,0,1,1,1,0,-0.8985,0,0,0,0.17
1.321,88.449562,-9.9894,-0.326497507,0.875,5.733667477,0,1,1,1,1,1,1.1453,1,0,0.142857143,0.65
4.81,89.928237,-10.7575,-0.365599512,0.777777778,5.733667477,0,0,1,1,1,1,0.7855,1,0,0,0.96
4.513,90.313779,-10.9451,-0.365599488,0.7,5.733667477,0,0,1,1,1,1,0.9246,1,0,0,2.19
4.414,102.138248,-10.8902,-0.3655995,0.7,5.733667477,0,0,1,1,1,1,1.4389,1,0,0,1.79
