name,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3
Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,-0.3278697741177671,0.329317287720985,0.2259165922744201,0.6571870618387521,-0.3278697741177671,0.4615384615384615,4.567099647791355,5.689743398203474,3,0,1,180.167,72.68,1,3,0,13,0,555.7163275008263,-1.0397,46.575700000000005,2,2,2,0.2857142857142857
2-aminoethylphosphonic acid,C(CP(=O)(O)O)N,-0.3298319763651285,0.3298319763651285,0.2375197671271643,0.6561622913202234,-0.3298319763651285,0.5714285714285714,15.520490682667134,7.595762326787885,1,0,1,125.06399999999998,83.55,3,2,2,7,0,74.03910001730775,-0.8772000000000002,25.9655,0,0,0,1.0
hypotaurine,C(CS(=O)O)N,-0.329469084637712,0.329469084637712,0.1885699412964631,0.4830425167172032,-0.329469084637712,0.5,10.286417350852547,0.0,1,0,1,109.15,63.31999999999999,2,2,2,6,0,44.0,-0.8331999999999997,24.6926,0,0,0,1.0
β-alanine(beta-alanine),C(CN)C(=O)O,-0.481195254586476,0.481195254586476,0.2640951420731063,0.785320470457577,-0.481195254586476,0.5,10.84019487200289,5.969305287951849,1,1,2,89.09399999999998,63.32000000000001,2,2,2,6,0,44.0,-0.5802,21.3072,0,0,0,0.6666666666666666
2-hydroxy-4-methoxybenzophenone,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,-0.5070406870065455,0.5070406870065455,0.1921682276734041,0.7032844943258466,-0.5070406870065455,0.5882352941176471,9.843390348640757,0.0,0,1,1,228.247,46.53,1,3,3,17,0,520.9895034570898,2.6318000000000006,64.53330000000003,2,2,0,0.0714285714285714
Indigo dye ,C1=CC=C2C(=C1)C(=C(N2)C3=NC4=CC=CC=C4C3=O)O,-0.5049680851923583,0.5049680851923583,0.17420854872767,0.7202937251638463,-0.5049680851923583,0.6,10.090505915787915,0.0,1,1,2,262.268,65.45,2,3,1,20,0,871.9446314679769,3.190600000000002,76.93300000000004,4,3,2,0.0
[2-(9H-carbazol-9-yl)ethyl]phosphonic acid,C1=CC=C2C(=C1)C3=CC=CC=C3N2CCP(=O)(O)O,-0.3398219811102093,0.3398219811102093,0.1568004574462538,0.666677416176124,-0.3398219811102093,0.631578947368421,14.353922853296304,7.595762326787885,1,0,1,275.2439999999999,62.46000000000001,2,1,3,19,0,711.688480757573,2.9722000000000017,76.35510000000002,3,3,1,0.1428571428571428
octylphosphonic acid,CCCCCCCCP(=O)(O)O,-0.3244220090988002,0.3250619266181701,0.167791595459093,0.6494839357169704,-0.3244220090988002,0.8333333333333334,9.78682320550495,7.595762326787885,0,0,0,194.211,57.53,2,1,7,12,0,126.97373660251154,2.5246000000000013,50.28710000000003,0,0,0,1.0
2-fluoroethylamine,C(CF)N,-0.3279985182906302,0.3279985182906302,0.1795328213325223,0.4296098644972949,-0.3279985182906302,0.5,5.733667477162185,0.0,1,0,1,63.07499999999999,26.02,1,1,1,4,0,2.0,-0.0853999999999998,15.029400000000004,0,0,0,1.0
"2,2-difluoroethylamine",C(C(F)F)N,-0.3254868945612102,0.3254868945612102,0.2099006536653262,0.5756581503147312,-0.3254868945612102,0.6,5.733667477162185,0.0,1,0,1,81.06500000000001,26.02,1,1,1,5,0,14.0,0.2102000000000001,15.058400000000002,0,0,0,1.0
"2, 2, 2-trifluoroethylamine",C(C(F)(F)F)N.Cl,-0.3227526419248896,0.4003882570684754,0.2224344732497976,0.7231408989933651,-0.3227526419248896,0.7142857142857143,5.733667477162185,6.176298517443475,1,0,1,135.51600000000005,26.02,1,1,0,7,0,29.793193904479523,0.9292,22.3574,0,0,0,1.0
11-Maleimidoundecanoic acid,C1=CC(=O)N(C1=O)CCCCCCCCCCC(=O)O,-0.481230389785217,0.481230389785217,0.1877200304163653,0.7840699463174007,-0.481230389785217,0.65,5.106527394840706,5.969305287951849,0,3,1,281.3519999999999,74.68,1,3,11,20,0,338.23460010384656,2.5069,75.04880000000004,1,0,1,0.6666666666666666
pentafluorophenyl acrylate,C=CC(=O)OC1=C(C(=C(C(=C1F)F)F)F)F,-0.4168205184539103,0.4168205184539103,0.2241221540821906,0.7520723486130196,-0.4168205184539103,0.5,4.736862953800049,5.969305287951849,0,1,1,238.11099999999996,26.3,0,2,2,16,0,418.5914941262542,2.4735000000000005,42.064,1,1,0,0.0
(pentaerythritol tetrakis (3-mercaptopropionate),C(CS)C(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-0.4646386705684034,0.4646386705684034,0.2349526635906989,0.7707735848734365,-0.4646386705684034,0.4137931034482758,18.9474518152002,23.8772211518074,0,4,1,488.67100000000033,105.20000000000002,4,12,16,29,0,396.6579249529183,1.4251999999999998,120.14900000000004,0,0,0,0.7647058823529411
3-hexylthiophene,CCCCCCC1=CSC=C1,-0.1521555148513981,0.1521555148513981,0.0369514155155966,0.146029451527864,0.0,1.0,0.0,0.0,0,0,0,168.305,0.0,0,1,5,11,0,160.17380772568063,3.8709000000000033,52.16500000000004,1,1,1,0.6
adamantane,C1C2CC3CC1CC(C2)C3,-0.0475496922422539,0.0475496922422539,0.0033863753001472,0.0069124096357708,0.0,1.0,0.0,0.0,0,0,0,136.23799999999997,0.0,0,0,0,10,0,91.58797503894242,2.832600000000001,41.66200000000001,4,0,0,1.0
1-adamantylamine,C1C2CC3CC1CC(C2)(C3)N,-0.3250304809663282,0.3250304809663282,0.0853546713537473,0.3412145929829491,-0.3250304809663282,0.9090909090909092,5.733667477162185,0.0,1,0,1,151.253,26.02,1,1,0,11,0,145.19311924156366,1.9139,45.09040000000002,4,0,0,1.0
trimethylolpropane triacrylate,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,-0.4616743059623329,0.4616743059623329,0.2352086415742292,0.7913369239525209,-0.4616743059623329,0.5238095238095238,14.210588861400147,17.90791586385555,0,3,1,296.319,78.9,0,6,10,21,0,345.9407100628639,1.5704,76.19200000000002,0,0,0,0.4
2-adamantanone,C1C2CC3CC1CC(C2)C3=O,-0.2990879861179407,0.2990879861179407,0.0980904548784396,0.437669083667725,-0.2990879861179407,0.7272727272727273,0.0,0.0,0,1,1,150.22099999999998,17.07,0,1,0,11,0,172.0838499786226,2.0116,42.052000000000014,4,0,0,0.9
1-adamantane carboxylic acid,C1C2CC3CC1CC(C2)(C3)C(=O)O,-0.4808213216267683,0.4808213216267683,0.168734007018557,0.7899806100711022,-0.4808213216267683,0.8461538461538461,5.106527394840706,5.969305287951849,0,1,1,180.247,37.3,1,1,1,13,0,213.47971260168305,2.2874,48.24080000000002,4,0,0,0.9090909090909092
1-adamantaneacetic acid,C1C2CC3CC1CC(C2)(C3)CC(=O)O,-0.4812151716584655,0.4812151716584655,0.1609786624100133,0.7846211769246656,-0.4812151716584655,0.8571428571428571,5.106527394840706,5.969305287951849,0,1,1,194.274,37.3,1,1,2,14,0,225.9276631200815,2.6775,52.85780000000003,4,0,0,0.9166666666666666
"2,2-difluoropropanediamide",C(=O)(C(C(=O)N)(F)F)N,-0.3639439248285856,0.3997046507896705,0.2921058725944391,0.763648575618256,-0.3639439248285856,0.6666666666666666,11.46733495432437,5.922529168094576,0,2,1,138.073,86.17999999999999,2,2,2,9,0,122.11730005192324,-1.4077000000000002,23.33580000000001,0,0,0,0.3333333333333333
triphenylphosphine oxide,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,-0.3086347994521468,0.3086347994521468,0.0810141990461761,0.4791467362802318,-0.3086347994521468,0.8,4.565048284931329,0.0,0,0,0,278.291,17.07,0,1,3,20,0,606.3410076853721,3.3260000000000014,85.83450000000005,3,3,0,0.0
tetraisopropyl methylenediphosphonate,CC(C)OP(=O)(CP(=O)(OC(C)C)OC(C)C)OC(C)C,-0.3053644289549855,0.3427483670678294,0.1887679157818279,0.648112796022815,-0.3053644289549855,0.6666666666666666,18.09498864684727,15.19152465357577,0,0,0,344.3250000000001,71.06000000000002,0,6,10,21,0,301.4995490565423,5.0301000000000045,84.96400000000007,0,0,0,1.0
tris(pentafluorophenyl) phosphine,C1(=C(C(=C(C(=C1F)F)P(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F)F)F)F,-0.2027889090602101,0.2027889090602101,0.1842398436310723,0.4028578532451984,0.0,0.4411764705882353,0.0,0.0,0,0,0,532.142,0.0,0,0,3,34,0,1075.363119885808,5.531300000000001,84.51800000000001,3,3,0,0.0
"1,2,4‐triazole",C1=NC=NN1,-0.2661367467416017,0.2661367467416017,0.1705531632592413,0.403134001864575,-0.2661367467416017,0.6,0.0,0.0,2,0,1,69.067,41.57,1,2,0,5,0,56.51517763826091,-0.1953,16.3827,1,1,1,0.0
N-(4-bromophenyl)thiourea,C1=CC(=CC=C1NC(=S)N)Br,-0.3760476532288073,0.3760476532288073,0.1487896533741439,0.5436765658429653,-0.3760476532288073,0.7272727272727273,11.050456081168516,0.0,2,0,1,231.118,38.05,2,1,1,11,0,241.24574977888085,2.1046,54.55010000000001,1,1,0,0.0
morpholine,C1COCCN1,-0.3788125135797184,0.3788125135797184,0.1829802791669597,0.4379205858252994,-0.3788125135797184,0.3333333333333333,10.05365155780638,0.0,1,0,1,87.122,21.26,1,2,0,6,0,15.509775004326936,-0.3938000000000001,23.688699999999997,1,0,1,1.0
