Compound_CID,SMILES,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,MolecularWeight,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3
44618153,C[C@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)C3CCCCC3)[C@H](C)CO)C)CN(C)C(=O)C4=CC=NC=C4,-0.4898865818208219,0.5777777777777777,29.696861368148088,0.0,1.0,2.0,622.8070000000004,2.0,7.0,7.0,5.168100000000005,4.0,2.0,0.6
16077905,CC(C)(C#CC1=CC(=C(C=C1)NC(=O)CSC2=NN=NN2C3=C(C=C(C=C3)C4CC4)Cl)Cl)NC(=O)C5=CC=[N+](C=C5)[O-],-0.6186928937049323,0.6428571428571429,15.840830232789951,0.0,5.0,2.0,622.5380000000001,2.0,7.0,8.0,4.770800000000003,5.0,2.0,0.2413793103448276
91921361,CNC(=O)N1CCC(CC1)C2CCN(C2)C(=O)CCC3=CC=CC=C3OC,-0.4964779693199875,0.6296296296296297,19.85347101950733,6.031114512338072,0.0,1.0,373.49700000000007,1.0,3.0,5.0,2.5277000000000003,3.0,2.0,0.6190476190476191
175643114,CC1=C(C=C(C=C1)S(=O)(=O)C)NC(=O)C2=C(C=CN(C2=O)CC3=CN=CC=C3)C,-0.3215230113781806,0.6206896551724138,9.883888251797686,0.0,2.0,2.0,411.4830000000001,1.0,5.0,5.0,2.5642400000000007,3.0,2.0,0.1904761904761904
5272495,CNC1=NC(=CS1)C2=CC=C(C=C2)NC(=O)CN(CC3CCCCC3)C(=O)C4=CN=CC=C4,-0.3645787660215437,0.6060606060606061,15.53348693886314,0.0,3.0,2.0,463.6070000000004,2.0,6.0,8.0,4.908000000000004,4.0,2.0,0.36
56602554,CC1=CC=C(C=C1)C2=NN(C3=NC=NC(=C23)N)C(C)(C)CNC(=O)C4=CC=NC=C4,-0.382964555031395,0.6,11.050456081168516,0.0,6.0,2.0,401.4740000000001,2.0,6.0,5.0,2.944020000000001,4.0,3.0,0.2272727272727272
172667429,CC1=C(C(=O)N(C=C1)C2=CC=CC(=C2)C(C)C)C(=O)NCCCC3=NC=CN3,-0.3518422937006224,0.6428571428571429,10.30076712495354,0.0,2.0,2.0,378.4760000000001,2.0,3.0,7.0,3.355020000000001,3.0,2.0,0.3181818181818182
172673089,CC1=C(C(=O)N(C=C1)C2CCC(CC2)O)C(=O)NC3=CC4=NC(=C(N=C4C=C3)C)C,-0.3931285867391547,0.6333333333333333,14.99041564663839,0.0,3.0,2.0,406.4860000000001,2.0,5.0,3.0,3.4450600000000016,4.0,2.0,0.391304347826087
137961754,CC1=C(C=C(C=C1)NC(=O)N2CCCC(C2)N(C3CCOCC3)C(=O)COC)F,-0.3812895288101456,0.5862068965517241,24.590333973307384,6.031114512338072,0.0,1.0,407.4860000000002,1.0,4.0,5.0,2.784420000000001,3.0,2.0,0.6190476190476191
70775684,CCSCCN(C1CCCCC1)C(=O)C2=C(C=C(NC2=O)C)C,-0.3346564452231263,0.6956521739130435,9.883888251797686,0.0,0.0,1.0,336.50100000000003,1.0,3.0,6.0,3.5197400000000023,2.0,1.0,0.6666666666666666
172666896,CC1=C(C(=O)N(C=C1)C2=CC3=C(C=C2)OCO3)C(=O)NC4=CC=CC5=C4N(N=C5)C,-0.4535930258484499,0.5333333333333333,14.790514511606428,0.0,3.0,2.0,402.4100000000001,1.0,5.0,3.0,3.0136200000000013,5.0,3.0,0.1363636363636363
