Compound_CID,SMILES,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,MolecularWeight,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3
117652883,CCOC(=O)C1=NC=C(C=C1)NC2=C(C=CC=N2)N,-0.4612636936839465,0.5789473684210527,15.787319034968563,5.969305287951849,4.0,2.0,258.28100000000006,2.0,6.0,4.0,1.9791,2.0,2.0,0.1538461538461538
66069030,CC1(C(=O)NC(=O)CN1C(=O)C2=C(N=CC=C2)N)C,-0.3830357874698416,0.5789473684210527,10.633577208012664,0.0,2.0,2.0,262.269,2.0,5.0,1.0,-0.4590000000000005,2.0,2.0,0.3333333333333333
56777411,CC(C)(C)OC(=O)NC1=CC=CC(=C1)C2=CN=C(C=C2)N,-0.4435868395796067,0.7142857142857143,10.470530430962237,6.093240070938415,2.0,2.0,285.34700000000004,2.0,4.0,2.0,3.677800000000001,2.0,1.0,0.25
25219900,C1=CC(=C(N=C1)N)/C=N/NC(=S)N,-0.3831560026565523,0.6153846153846154,11.46733495432437,0.0,5.0,1.0,195.251,3.0,4.0,2.0,-0.1691000000000001,1.0,1.0,0.0
157011282,C1=CC(=NC=C1C2=CN=CC(=N2)N)N,-0.3837021461112606,0.5,11.46733495432437,0.0,5.0,1.0,187.206,2.0,5.0,1.0,0.7029999999999998,2.0,2.0,0.0
81694791,C1CN(C(C(=O)N1)CC(=O)O)C(=O)C2=NC=C(C=C2)N,-0.4811622173810376,0.5,21.05689320685969,5.969305287951849,2.0,2.0,278.26800000000003,3.0,5.0,3.0,-0.9208999999999984,2.0,2.0,0.3333333333333333
104741911,C1[C@H](N(CS1)C(=O)C2=C(C=CC=N2)N)C(=O)O,-0.4796887327562235,0.5294117647058824,15.74010460285337,5.969305287951849,2.0,2.0,253.283,2.0,5.0,2.0,0.2635000000000001,2.0,2.0,0.3
105623841,C1CC[C@@H]2[C@H](C1)CCCN2C3=NC=C(C(=C3)C(=O)O)N,-0.4775812384730281,0.65,15.740104602853368,5.969305287951849,3.0,2.0,275.35200000000003,2.0,4.0,2.0,2.521,3.0,2.0,0.6
114406933,C1CC2COC(CN2C1)CNC3=C(C=CC(=N3)C(=O)O)N,-0.4765083289211635,0.5714285714285714,20.89384642980927,5.969305287951849,4.0,2.0,292.33900000000006,3.0,6.0,4.0,0.6371000000000008,3.0,3.0,0.5714285714285714
23564158,C1=CN=C(C=C1N)CO,-0.3986293800994564,0.5555555555555556,10.84019487200289,0.0,2.0,1.0,124.143,2.0,3.0,1.0,0.1561,1.0,1.0,0.1666666666666666
68261205,CC(=O)N1CCCC2C1CN(C2)C(=O)C3=CN=C(C=C3)N,-0.3837021173169055,0.5238095238095238,15.533486938863142,0.0,2.0,2.0,288.351,1.0,4.0,1.0,0.7466999999999997,3.0,3.0,0.5333333333333333
157023363,C[Si](C)(C)CCOC(=O)C1=CN=C(C=C1)N,-0.4623573627565288,0.625,10.470530430962237,5.969305287951849,2.0,2.0,238.363,1.0,4.0,4.0,2.1588,1.0,1.0,0.4545454545454545
