Compound_CID,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3,rdkit_ok,fail_reason
53229702,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)C3=C(N=C(C=C3)N)C(=O)O,-0.4764918336828641,0.4764918336828641,0.1811192705905477,0.8312174224961801,-0.4764918336828641,0.6666666666666666,10.84019487200289,5.969305287951849,2.0,1.0,2.0,347.3960000000001,113.59000000000002,2.0,5.0,4.0,24.0,0.0,839.4113657458569,1.8135,89.03750000000007,3.0,2.0,2.0,0.25,1,
53229706,CC(C)(C)NS(=O)(=O)C1=CC=CC(=C1)C2=C(N=C(C=C2)N)C(=O)O,-0.4764918336679309,0.4764918336679309,0.180917154661061,0.8312174281415405,-0.4764918336679309,0.7083333333333334,10.84019487200289,5.969305287951849,2.0,1.0,2.0,349.4120000000001,122.38,3.0,5.0,4.0,24.0,0.0,853.15159074153,2.1058,91.11920000000006,2.0,2.0,1.0,0.25,1,
53229710,CC(C)(C)NS(=O)(=O)C1=CC=C(C=C1)C2=C(N=C(C=C2)N)C(=O)O,-0.4764918336828641,0.4764918336828641,0.1808556102279122,0.8312174224961801,-0.4764918336828641,0.7083333333333334,10.84019487200289,5.969305287951849,2.0,1.0,2.0,349.4120000000001,122.38,3.0,5.0,4.0,24.0,0.0,835.90159074153,2.1058,91.11920000000006,2.0,2.0,1.0,0.25,1,
58333105,CC(C)(C)C1=CN=C(C=C1)C(=O)O,-0.4765094695247657,0.4765094695247657,0.1902536395660145,0.8304853456528332,-0.4765094695247657,0.7692307692307693,5.106527394840706,5.969305287951849,1.0,1.0,2.0,179.219,50.19,1.0,2.0,1.0,13.0,0.0,295.80534964618334,2.0773,49.896300000000025,1.0,1.0,1.0,0.4,1,
61677936,C1=CC(=C(C=C1OC2=CC(=NC=C2)C(=O)O)F)[N+](=O)[O-],-0.4765077642808127,0.4765077642808127,0.2267267711284551,0.8306278138186527,-0.4765077642808127,0.45,9.843390348640757,11.656691562635412,2.0,1.0,2.0,278.195,102.56,1.0,5.0,4.0,20.0,0.0,659.4885700306404,2.6194,64.3247,2.0,2.0,1.0,0.0,1,
155482706,CC1=C(C(=NC(=C1C#N)C(F)(F)F)C(=O)O)C,-0.4765016972449214,0.4765016972449214,0.2212679797440596,0.9107048101704992,-0.4765016972449214,0.6470588235294118,5.106527394840706,12.145603805395323,2.0,1.0,2.0,244.172,73.98,1.0,3.0,1.0,17.0,0.0,502.3105649250221,2.28712,50.3873,1.0,1.0,1.0,0.3,1,
53211474,C1=CC(=C(C=C1F)C2=CN=C(C=C2)C(=O)O)F,-0.4765094671693415,0.4765094671693415,0.1863898581672916,0.8304857626058395,-0.4765094671693415,0.5882352941176471,5.106527394840706,5.969305287951849,1.0,1.0,2.0,235.189,50.19,1.0,2.0,2.0,17.0,0.0,544.751035551938,2.7250000000000005,56.54830000000001,2.0,2.0,1.0,0.0,1,
59178806,CC1=CC(=C(N=C1)C(=O)O)C(F)(F)F,-0.4764977223428743,0.4764977223428743,0.231575609451857,0.8947648267472136,-0.4764977223428743,0.6428571428571429,5.106527394840706,12.145603805395323,1.0,1.0,2.0,205.135,50.19,1.0,2.0,1.0,14.0,0.0,350.79132668856164,2.10702,40.935300000000005,1.0,1.0,1.0,0.25,1,
58838312,C1=CC(=NC(=C1)N2C=CC=C2C3=C(C=CC(=C3)Cl)O)C(=O)O,-0.507250424779933,0.507250424779933,0.1938919459475509,0.8613220819856422,-0.507250424779933,0.6363636363636364,14.780154437472763,5.969305287951849,2.0,1.0,2.0,314.728,75.35,2.0,3.0,3.0,22.0,0.0,830.7495780820163,3.596500000000002,82.63410000000003,3.0,3.0,2.0,0.0,1,
71087449,CC(C)CSC1=C(C=CC(=N1)C(=O)O)C2CC2,-0.47650886860881,0.47650886860881,0.1695325298793641,0.8305362479233733,-0.47650886860881,0.7647058823529411,5.106527394840706,5.969305287951849,1.0,1.0,2.0,251.351,50.19,1.0,3.0,5.0,17.0,0.0,408.0465289172487,3.4053000000000013,68.73330000000003,2.0,1.0,1.0,0.5384615384615384,1,
68563272,CC(C)(C)C1=C(N=CC=C1)C(=O)O,-0.4765016218708813,0.4765016218708813,0.1906144404631603,0.8307897728885383,-0.4765016218708813,0.7692307692307693,5.106527394840706,5.969305287951849,1.0,1.0,2.0,179.219,50.19,1.0,2.0,1.0,13.0,0.0,313.0553496461834,2.0773,49.896300000000025,1.0,1.0,1.0,0.4,1,
68109718,COCC1=C(N=CC(=C1)Cl)C(=O)O,-0.4765007769102118,0.4765007769102118,0.21856637092562,0.8308612302361555,-0.4765007769102118,0.4615384615384615,9.843390348640757,5.969305287951849,1.0,1.0,2.0,201.609,59.42,1.0,3.0,3.0,13.0,0.0,307.8143909481188,1.5796,46.919300000000014,1.0,1.0,1.0,0.25,1,
70605419,C1CNCCN1.C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C3=CN=C(C=C3)C(=O)O)Cl,-0.4765094695159859,0.4765094695159859,0.1470571211717345,0.8304853489978514,-0.4765094695159859,0.6666666666666666,15.740104602853368,5.969305287951849,3.0,1.0,2.0,444.3620000000002,74.25,3.0,4.0,4.0,30.0,0.0,850.2723732275404,4.446000000000003,120.78470000000004,4.0,3.0,2.0,0.217391304347826,1,
68989639,CN1CCC(CC1)C2=NC(=CC=C2)C(=O)O.Cl,-0.476509319221768,0.476509319221768,0.1801159052153088,0.8304978243650312,-0.476509319221768,0.7647058823529411,10.006437125691184,5.969305287951849,2.0,1.0,2.0,256.733,53.43000000000001,1.0,3.0,2.0,17.0,0.0,367.3796296686227,2.0108,67.91630000000004,2.0,1.0,2.0,0.5,1,
97181116,COC(=O)C1=C(N=C(C=C1)C2=CC(=CC=C2)F)C(=O)O,-0.4764895843234031,0.4764895843234031,0.2166977537297684,0.8314070963367087,-0.4764895843234031,0.6,9.843390348640757,11.9386105759037,1.0,2.0,2.0,275.235,76.49,1.0,4.0,3.0,20.0,0.0,659.4885700306406,2.3725,67.92980000000001,2.0,2.0,1.0,0.0714285714285714,1,
97181120,COC1=CC=CC(=C1)C2=NC(=C(C=C2)C(=O)OC)C(=O)O,-0.4967444834560142,0.4967444834560142,0.2320071953090597,0.851661995486503,-0.4967444834560142,0.5714285714285714,14.580253302440804,11.9386105759037,1.0,2.0,2.0,287.271,85.72000000000001,1.0,5.0,4.0,21.0,0.0,674.187707907221,2.2419999999999995,74.52380000000002,2.0,2.0,1.0,0.1333333333333333,1,
91971243,CCCCC(CC)CN(CC1=NC(=CC=C1)C(=O)O)CC(CC)CCCC,-0.476509314570507,0.476509314570507,0.1423336951240994,0.8304986508040808,-0.476509314570507,0.7777777777777778,5.106527394840706,5.969305287951849,2.0,1.0,2.0,376.58500000000026,53.43000000000001,1.0,3.0,15.0,27.0,0.0,494.5245249269933,6.014600000000007,113.08530000000007,1.0,1.0,1.0,0.7391304347826086,1,
155676938,C1COC2=C1C(=C(C=C2)F)CNC3=NC=C(C4=NC(=CN43)C#N)C5=CN=C(C=C5)C(=O)O,-0.4929437589916037,0.4929437589916037,0.195034131472112,0.8469200545187012,-0.4929437589916037,0.4375,15.160178952647083,5.969305287951849,6.0,1.0,2.0,430.3990000000001,125.43000000000002,2.0,7.0,5.0,32.0,0.0,1366.5686329545742,3.0472800000000007,110.81800000000004,5.0,4.0,4.0,0.1363636363636363,1,
155295925,COC1=C(C=CC(=N1)C(=O)O)C(=O)OC,-0.4803575559401973,0.4803575559401973,0.2756124729893675,0.8344907788245421,-0.4803575559401973,0.5333333333333333,14.580253302440804,11.9386105759037,1.0,2.0,2.0,211.173,85.72000000000001,1.0,5.0,3.0,15.0,0.0,383.0248257561692,0.575,49.08780000000001,1.0,1.0,1.0,0.2222222222222222,1,
155907006,CC/C=C/C1=CN=C(C=C1)C(=O)O,-0.4765094671847714,0.4765094671847714,0.1904577283852074,0.8304857567488921,-0.4765094671847714,0.7692307692307693,5.106527394840706,5.969305287951849,1.0,1.0,2.0,177.203,50.19,1.0,2.0,3.0,13.0,0.0,301.3151246505103,2.203,50.52130000000002,1.0,1.0,1.0,0.2,1,
155482381,CC1=C(C(=CN=C1C(=O)O)C#N)C(F)(F)F,-0.4765018537469752,0.4765018537469752,0.2241813815270082,0.8940818342574379,-0.4765018537469752,0.5625,5.106527394840706,12.145603805395323,2.0,1.0,2.0,230.14499999999995,73.97999999999999,1.0,3.0,1.0,16.0,0.0,462.0372820395883,1.9787,45.6503,1.0,1.0,1.0,0.2222222222222222,1,
