name,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3,rdkit_ok,fail_reason
3-(2-amino-2-oxoethyl)-1-methyl-1H-imidazol-3-ium chloride,C[N+]1=CN(C=C1)CC(=O)N.[Cl-],-1.0,1.0,0.35698494432741673,1.2591838558737027,-0.36625077305130316,0.45454545454545453,18.14070063834216,0.0,2,1,2,175.61899999999997,51.9,1,1,2,11,0,227.94127869182105,-4.198099999999998,34.802399999999984,1,1,1,0.3333333333333333,1,
N-methyl pyrrolidone,CN1CCCC1=O,-0.34574891494977367,0.34574891494977367,0.18011761844964747,0.5676224784542465,-0.34574891494977367,0.42857142857142855,4.899909730850478,0.0,0,1,1,99.133,20.310000000000002,0,1,0,7,0,82.03910001730776,0.23859999999999992,26.870999999999988,1,0,1,0.8,1,
prolinamide,C1C[C@H](NC1)C(=O)N,-0.36831872550981526,0.36831872550981526,0.19613759307086484,0.6023767035808807,-0.36831872550981526,0.75,11.050456081168516,0.0,1,1,2,114.14800000000001,55.120000000000005,2,2,1,8,0,86.2114326716684,-0.7763000000000002,30.219099999999997,1,0,1,0.8,1,
Naphthylmethylammonium Iodide,CNC1=CC=CC2=CC=CC=C21.I,-0.3876198054845221,0.3876198054845221,0.10012883723826044,0.42929667966784696,-0.3876198054845221,0.7692307692307693,5.316788604006331,0.0,1,0,1,285.128,12.03,1,1,1,13,0,382.66537277547695,3.4995000000000016,68.90970000000002,2,2,0,0.09090909090909091,1,
2-(furan-3-yl)ethanamine hydrochloride,C1=COC=C1CCN.Cl,-0.472337977485534,0.472337977485534,0.18204033355009516,0.5657848295417347,-0.472337977485534,0.7777777777777778,10.150818414215532,0.0,1,0,1,147.60500000000005,39.16,1,2,2,9,0,125.75835605579972,1.2026,38.714400000000005,1,1,1,0.3333333333333333,1,
"2,6-pyridine dicarboxylate",C1=CC(=NC(=C1)C(=O)[O-])C(=O)[O-],-0.5431183074183069,0.5431183074183069,0.2702809915565313,0.6330880801851415,-0.5431183074183069,0.6666666666666666,19.802129157825057,0.0,1,2,2,165.10399999999996,93.15,0,5,2,12,-2,289.31512465051037,-2.1914,32.897999999999996,1,1,1,0.0,1,
n-Butylammonium iodide,CCCCN.I,-0.3304736813706357,0.3304736813706357,0.10674709518906662,0.3227360388642155,-0.3304736813706357,1.0,5.733667477162185,0.0,1,0,1,201.05100000000002,26.02,1,1,2,6,0,7.5097750043269365,1.3632,39.3774,0,0,0,1.0,1,
Cyclohexylmethylammonium iodide,C1CCC(CC1)C[NH3+].[I-],-1.0,1.0,0.3142610448316196,1.0767891942340664,-0.35733119489732024,0.7777777777777778,29.710307602424244,0.0,1,0,1,241.116,27.64,1,0,1,9,0,51.058650025961626,-2.1873999999999976,34.33009999999998,1,0,0,1.0,1,
Ethylammonium iodide,CCN.I,-0.3307484184390755,0.3307484184390755,0.12341964277400788,0.32017215260986903,-0.3307484184390755,1.0,5.733667477162185,0.0,1,0,1,172.99699999999999,26.02,1,1,0,4,0,0.0,0.5830000000000002,30.143399999999996,0,0,0,1.0,1,
Guanidinium iodide,C(=N)(N)N.I,-0.37033353165611066,0.37033353165611066,0.20830519930983585,0.5528615339913754,-0.37033353165611066,0.8,11.46733495432437,0.0,3,0,1,186.984,75.89,3,1,0,5,0,23.019550008653873,-0.5434300000000001,31.516500000000008,0,0,0,0.0,1,
4-Fluoro-phenethylammonium iodide,C1=CC(=CC=C1CCN)F.I,-0.33014260708864995,0.33014260708864995,0.11165408287446753,0.45286983615923326,-0.33014260708864995,0.9090909090909091,5.733667477162185,0.0,1,0,1,267.085,26.02,1,1,2,11,0,183.69821324529929,1.9449,54.573400000000014,1,1,0,0.25,1,
2-Fluoro-phenethylammonium iodide,C1=CC=C(C(=C1)CC[NH3+])F.[I-],-1.0,1.0,0.299573623747023,1.1261194141368371,-0.35728354300581633,0.7272727272727273,29.710307602424244,0.0,1,0,1,267.085,27.64,1,0,2,11,0,200.94821324529926,-2.3858999999999986,37.85909999999999,1,1,0,0.25,1,
Benzylammonium iodide,C1=CC=C(C=C1)CN.I,-0.3264975066178272,0.3264975066178272,0.09128328235175295,0.3442582695645812,-0.3264975066178272,0.8888888888888888,5.733667477162185,0.0,1,0,1,235.068,26.02,1,1,1,9,0,141.38429890473827,1.7633,49.74840000000002,1,1,0,0.14285714285714285,1,
Octylammonium iodide,CCCCCCCC[NH3+].[I-],-1.0,1.0,0.2983606957012175,1.073930339206695,-0.35756086488692906,0.9,29.710307602424244,0.0,1,0,1,257.159,27.64,1,0,6,10,0,33.30296890880646,-1.407199999999996,41.13109999999999,0,0,0,1.0,1,
selenophene,C1=C[Se]C=C1,,,,,,0.0,0.0,36.51687727981271,0,0,0,131.036,0.0,0,0,0,5,0,56.51517763826091,0.7435999999999999,23.381999999999994,1,1,1,0.0,1,
"(E,E)-1-[5-(1,3-benzodioxol-5-yl)-1-oxo-2,4-pentadienyl]-piperidine",C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3,-0.45359507763020873,0.45359507763020873,0.18699790214126208,0.6996442203062165,-0.45359507763020873,0.6666666666666666,14.373635638450576,0.0,0,1,1,285.3430000000001,38.77,0,3,3,21,0,553.401084448596,2.997200000000001,81.17000000000004,3,1,2,0.35294117647058826,1,
guanidine sulfate,C(=N)(N)N.C(=N)(N)N.OS(=O)(=O)O,-0.37033353165611066,0.3943465294963554,0.24250745776401147,0.764680061152466,-0.37033353165611066,0.7692307692307693,22.93466990864874,10.399000581649606,6,0,1,216.22300000000004,226.37999999999997,8,4,0,13,0,194.76392511682732,-2.9756599999999995,46.38039999999998,0,0,0,0.0,1,
"2,2,6,6-tetramethyl-1-piperidinyloxy",CC1(CCCC(N1[O])(C)C)C,-0.14391229431909255,0.14391229431909255,0.05362120400814898,0.18823598734481656,-0.14391229431909255,0.8181818181818182,0.0,0.0,1,0,1,156.249,23.14,0,1,0,11,0,126.11730005192324,2.375000000000001,44.534500000000016,1,0,1,1.0,1,
ethylammonium,CCN.[N+](=O)(O)[O-],-0.3307484184390755,0.3307484184390755,0.1957527234393954,0.6220438975335463,-0.3307484184390755,0.8571428571428571,10.940920501939475,0.0,2,0,1,108.09699999999998,89.39,2,3,0,7,0,31.302968908806456,-0.38269999999999954,23.5093,0,0,0,1.0,1,
imidazolium,C1=C[NH+]=CN1,-0.2503460668537822,0.2503460668537822,0.20703697534329235,0.48912661028206916,-0.2503460668537822,0.4,0.0,0.0,0,0,0,69.08699999999999,29.93,1,0,0,5,1,56.51517763826091,-0.17119999999999996,17.3484,1,1,1,0.0,1,
guanidinium iodide,C(=N)(N)N.I,-0.37033353165611066,0.37033353165611066,0.20830519930983585,0.5528615339913754,-0.37033353165611066,0.8,11.46733495432437,0.0,3,0,1,186.984,75.89,3,1,0,5,0,23.019550008653873,-0.5434300000000001,31.516500000000008,0,0,0,0.0,1,
acrylamide monomer,C=CC(=O)N,-0.36613333016051547,0.36613333016051547,0.21202196840428522,0.6064307284871454,-0.36613333016051547,0.8,5.733667477162185,0.0,0,1,1,71.07900000000001,43.09,1,1,1,5,0,51.058650025961626,-0.3423,19.3914,0,0,0,0.0,1,
tetraoctylammonium chloride,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Cl-],-1.0,1.0,0.1750096268893343,1.0786130792169253,-0.3236090813636051,0.8823529411764706,16.8900640188746,0.0,1,0,1,502.35600000000056,0.0,0,0,28,34,0,274.43769820069616,8.249200000000007,153.2323999999998,0,0,0,1.0,1,
"naphthalene-1,8-dicarboximide",C1=CC2=C3C(=C1)C(=O)NC(=O)C3=CC=C2,-0.2881416866001972,0.2881416866001972,0.1557483439927359,0.5464079083598489,-0.2881416866001972,0.6666666666666666,0.0,0.0,0,2,1,197.19299999999998,46.17,1,2,0,15,0,539.2598416777059,1.7233999999999998,55.744700000000016,3,2,1,0.0,1,
"perylene-3,4-dicarboximide",C1=CC2=C3C(=C1)C4=C5C(=CC=C6C5=C(C=C4)C(=O)NC6=O)C3=CC=C2,-0.28814167164086885,0.28814167164086885,0.12165352336088694,0.5464090052984769,-0.28814167164086885,0.8,0.0,0.0,0,2,1,321.33500000000004,46.17,1,2,0,25,0,1283.6758201737257,4.620800000000003,99.44870000000004,6,5,1,0.0,1,
Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,-0.33872132070702005,0.33872132070702005,0.22654920837267753,0.6704245681053593,-0.33872132070702005,0.46153846153846156,4.9839785209472085,5.689743398203474,3,0,1,180.167,72.68,1,3,0,13,0,555.7163275008263,-1.0397000000000005,46.575700000000005,2,2,2,0.2857142857142857,1,
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-0.3278634660994821,0.3317034326359889,0.21799418723012604,0.659566898735471,-0.3278634660994821,0.42857142857142855,4.567099647791355,5.689743398203474,4,0,1,194.194,61.82,0,3,0,14,0,597.2256230854155,-1.0293,51.19600000000001,2,2,2,0.375,1,
Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,-0.3278697741177671,0.32931728772098506,0.2259165922744201,0.6571870618387521,-0.3278697741177671,0.46153846153846156,4.567099647791355,5.689743398203474,3,0,1,180.16699999999997,72.68,1,3,0,13,0,555.7163275008263,-1.0397,46.575700000000005,2,2,2,0.2857142857142857,1,
2-aminoethylphosphonic acid,C(CP(=O)(O)O)N,-0.32983197636512857,0.32983197636512857,0.23751976712716436,0.6561622913202234,-0.32983197636512857,0.5714285714285714,15.520490682667134,7.595762326787885,1,0,1,125.06399999999998,83.55,3,2,2,7,0,74.03910001730775,-0.8772000000000002,25.9655,0,0,0,1.0,1,
hypotaurine,C(CS(=O)O)N,-0.329469084637712,0.329469084637712,0.18856994129646312,0.4830425167172032,-0.329469084637712,0.5,10.286417350852549,0.0,1,0,1,109.14999999999999,63.31999999999999,2,2,2,6,0,44.0,-0.8331999999999997,24.6926,0,0,0,1.0,1,
β-alanine(beta-alanine),C(CN)C(=O)O,-0.48119525458647605,0.48119525458647605,0.26409514207310636,0.785320470457577,-0.48119525458647605,0.5,10.84019487200289,5.969305287951849,1,1,2,89.09399999999998,63.32000000000001,2,2,2,6,0,44.0,-0.5802,21.3072,0,0,0,0.6666666666666666,1,
2-hydroxy-4-methoxybenzophenone,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,-0.5070406870065455,0.5070406870065455,0.19216822767340414,0.7032844943258466,-0.5070406870065455,0.5882352941176471,9.843390348640755,0.0,0,1,1,228.247,46.53,1,3,3,17,0,520.9895034570898,2.6318000000000006,64.53330000000003,2,2,0,0.07142857142857142,1,
Indigo dye ,C1=CC=C2C(=C1)C(=C(N2)C3=NC4=CC=CC=C4C3=O)O,-0.5049680851923583,0.5049680851923583,0.17420854872767005,0.7202937251638463,-0.5049680851923583,0.6,10.090505915787915,0.0,1,1,2,262.268,65.45,2,3,1,20,0,871.9446314679769,3.190600000000002,76.93300000000004,4,3,2,0.0,1,
[2-(9H-carbazol-9-yl)ethyl]phosphonic acid,C1=CC=C2C(=C1)C3=CC=CC=C3N2CCP(=O)(O)O,-0.33982198111020934,0.33982198111020934,0.1568004574462538,0.666677416176124,-0.33982198111020934,0.631578947368421,14.353922853296304,7.595762326787885,1,0,1,275.2439999999999,62.46000000000001,2,1,3,19,0,711.688480757573,2.9722000000000017,76.35510000000002,3,3,1,0.14285714285714285,1,
octylphosphonic acid,CCCCCCCCP(=O)(O)O,-0.32442200909880026,0.3250619266181701,0.167791595459093,0.6494839357169704,-0.32442200909880026,0.8333333333333334,9.78682320550495,7.595762326787885,0,0,0,194.211,57.53,2,1,7,12,0,126.97373660251154,2.5246000000000013,50.28710000000003,0,0,0,1.0,1,
2-fluoroethylamine,C(CF)N,-0.3279985182906302,0.3279985182906302,0.17953282133252235,0.4296098644972949,-0.3279985182906302,0.5,5.733667477162185,0.0,1,0,1,63.07499999999999,26.02,1,1,1,4,0,2.0,-0.08539999999999981,15.029400000000003,0,0,0,1.0,1,
"2,2-difluoroethylamine",C(C(F)F)N,-0.32548689456121027,0.32548689456121027,0.20990065366532626,0.5756581503147312,-0.32548689456121027,0.6,5.733667477162185,0.0,1,0,1,81.06500000000001,26.02,1,1,1,5,0,14.0,0.21020000000000016,15.058400000000002,0,0,0,1.0,1,
"2, 2, 2-trifluoroethylamine",C(C(F)(F)F)N.Cl,-0.32275264192488967,0.4003882570684754,0.22243447324979762,0.7231408989933651,-0.32275264192488967,0.7142857142857143,5.733667477162185,6.176298517443475,1,0,1,135.51600000000005,26.02,1,1,0,7,0,29.793193904479523,0.9292,22.357400000000002,0,0,0,1.0,1,
11-Maleimidoundecanoic acid,C1=CC(=O)N(C1=O)CCCCCCCCCCC(=O)O,-0.481230389785217,0.481230389785217,0.18772003041636537,0.7840699463174007,-0.481230389785217,0.65,5.106527394840706,5.969305287951849,0,3,1,281.3519999999999,74.68,1,3,11,20,0,338.23460010384656,2.5069,75.04880000000004,1,0,1,0.6666666666666666,1,
pentafluorophenyl acrylate,C=CC(=O)OC1=C(C(=C(C(=C1F)F)F)F)F,-0.4168205184539103,0.4168205184539103,0.2241221540821906,0.7520723486130196,-0.4168205184539103,0.5,4.736862953800049,5.969305287951849,0,1,1,238.11099999999993,26.3,0,2,2,16,0,418.5914941262542,2.4735000000000005,42.064,1,1,0,0.0,1,
(pentaerythritol tetrakis (3-mercaptopropionate),C(CS)C(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-0.46463867056840347,0.46463867056840347,0.2349526635906989,0.7707735848734365,-0.46463867056840347,0.41379310344827586,18.947451815200196,23.877221151807397,0,4,1,488.67100000000033,105.20000000000002,4,12,16,29,0,396.6579249529183,1.4251999999999998,120.14900000000003,0,0,0,0.7647058823529411,1,
3-hexylthiophene,CCCCCCC1=CSC=C1,-0.15215551485139814,0.15215551485139814,0.03695141551559669,0.14602945152786406,,1.0,0.0,0.0,0,0,0,168.305,0.0,0,1,5,11,0,160.17380772568063,3.8709000000000033,52.165000000000035,1,1,1,0.6,1,
adamantane,C1C2CC3CC1CC(C2)C3,-0.04754969224225395,0.04754969224225395,0.003386375300147262,0.006912409635770854,,1.0,0.0,0.0,0,0,0,136.23799999999997,0.0,0,0,0,10,0,91.58797503894242,2.832600000000001,41.66200000000001,4,0,0,1.0,1,
1-adamantylamine,C1C2CC3CC1CC(C2)(C3)N,-0.3250304809663282,0.3250304809663282,0.08535467135374739,0.3412145929829491,-0.3250304809663282,0.9090909090909091,5.733667477162185,0.0,1,0,1,151.253,26.02,1,1,0,11,0,145.19311924156366,1.9139000000000002,45.09040000000002,4,0,0,1.0,1,
trimethylolpropane triacrylate,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,-0.46167430596233294,0.46167430596233294,0.2352086415742292,0.7913369239525209,-0.46167430596233294,0.5238095238095238,14.210588861400147,17.90791586385555,0,3,1,296.31899999999996,78.9,0,6,10,21,0,345.9407100628639,1.5704,76.19200000000002,0,0,0,0.4,1,
2-adamantanone,C1C2CC3CC1CC(C2)C3=O,-0.29908798611794074,0.29908798611794074,0.09809045487843962,0.437669083667725,-0.29908798611794074,0.7272727272727273,0.0,0.0,0,1,1,150.22099999999998,17.07,0,1,0,11,0,172.0838499786226,2.0116,42.052000000000014,4,0,0,0.9,1,
1-adamantane carboxylic acid,C1C2CC3CC1CC(C2)(C3)C(=O)O,-0.4808213216267683,0.4808213216267683,0.16873400701855704,0.7899806100711022,-0.4808213216267683,0.8461538461538461,5.106527394840706,5.969305287951849,0,1,1,180.24699999999999,37.3,1,1,1,13,0,213.47971260168305,2.2874,48.24080000000002,4,0,0,0.9090909090909091,1,
1-adamantaneacetic acid,C1C2CC3CC1CC(C2)(C3)CC(=O)O,-0.48121517165846556,0.48121517165846556,0.16097866241001335,0.7846211769246656,-0.48121517165846556,0.8571428571428571,5.106527394840706,5.969305287951849,0,1,1,194.27399999999997,37.3,1,1,2,14,0,225.9276631200815,2.6775,52.85780000000003,4,0,0,0.9166666666666666,1,
"2,2-difluoropropanediamide",C(=O)(C(C(=O)N)(F)F)N,-0.3639439248285856,0.3997046507896705,0.29210587259443915,0.763648575618256,-0.3639439248285856,0.6666666666666666,11.46733495432437,5.922529168094576,0,2,1,138.073,86.17999999999999,2,2,2,9,0,122.11730005192324,-1.4077000000000002,23.335800000000006,0,0,0,0.3333333333333333,1,
triphenylphosphine oxide,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,-0.30863479945214684,0.30863479945214684,0.08101419904617616,0.47914673628023186,-0.30863479945214684,0.8,4.565048284931329,0.0,0,0,0,278.291,17.07,0,1,3,20,0,606.3410076853721,3.3260000000000014,85.83450000000005,3,3,0,0.0,1,
tetraisopropyl methylenediphosphonate,CC(C)OP(=O)(CP(=O)(OC(C)C)OC(C)C)OC(C)C,-0.30536442895498556,0.3427483670678294,0.18876791578182792,0.648112796022815,-0.30536442895498556,0.6666666666666666,18.09498864684727,15.19152465357577,0,0,0,344.3250000000001,71.06000000000002,0,6,10,21,0,301.4995490565423,5.0301000000000045,84.96400000000007,0,0,0,1.0,1,
tris(pentafluorophenyl) phosphine,C1(=C(C(=C(C(=C1F)F)P(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F)F)F)F,-0.20278890906021013,0.20278890906021013,0.1842398436310723,0.4028578532451984,,0.4411764705882353,0.0,0.0,0,0,0,532.142,0.0,0,0,3,34,0,1075.363119885808,5.531300000000001,84.51800000000001,3,3,0,0.0,1,
"1,2,4‐triazole",C1=NC=NN1,-0.2661367467416017,0.2661367467416017,0.1705531632592413,0.40313400186457504,-0.2661367467416017,0.6,0.0,0.0,2,0,1,69.067,41.57,1,2,0,5,0,56.51517763826091,-0.19530000000000008,16.3827,1,1,1,0.0,1,
N-(4-bromophenyl)thiourea,C1=CC(=CC=C1NC(=S)N)Br,-0.37604765322880734,0.37604765322880734,0.14878965337414393,0.5436765658429653,-0.37604765322880734,0.7272727272727273,11.050456081168516,0.0,2,0,1,231.11799999999997,38.05,2,1,1,11,0,241.24574977888085,2.1046,54.55010000000001,1,1,0,0.0,1,
morpholine,C1COCCN1,-0.37881251357971846,0.37881251357971846,0.18298027916695978,0.4379205858252994,-0.37881251357971846,0.3333333333333333,10.05365155780638,0.0,1,0,1,87.122,21.259999999999998,1,2,0,6,0,15.509775004326936,-0.3938000000000001,23.688699999999994,1,0,1,1.0,1,
"3,5-morpholone(Morpholine-3,5-dione)",C1C(=O)NC(=O)CO1,-0.3618018522519596,0.3618018522519596,0.24977912467795885,0.6139305729874207,-0.3618018522519596,0.5,4.736862953800049,0.0,0,2,1,115.088,55.400000000000006,1,3,0,8,0,106.0,-1.3406000000000002,23.968699999999995,1,0,1,0.5,1,
3-morpholone,C1COCC(=O)N1,-0.369813236012941,0.369813236012941,0.2324910338910475,0.6153923454208832,-0.369813236012941,0.42857142857142855,10.05365155780638,0.0,0,1,1,101.10499999999999,38.33,1,2,0,7,0,64.10749561002055,-0.8672,23.828699999999994,1,0,1,0.75,1,
2-methylbenzimidazole,CC1=NC2=CC=CC=C2N1,-0.34221440088180566,0.34221440088180566,0.1333390098069411,0.44579573221650903,-0.34221440088180566,0.7,4.9839785209472085,0.0,1,0,1,132.16599999999997,28.68,1,1,0,10,0,308.56579693179106,1.8713199999999999,40.830700000000014,2,2,1,0.125,1,
4-aminopyridine,C1=CN=CC=C1N,-0.39863899092187605,0.39863899092187605,0.15990454825231934,0.43307544831096667,-0.39863899092187605,0.5714285714285714,5.733667477162185,0.0,2,0,1,94.117,38.91,1,2,0,7,0,129.96566024533826,0.6638000000000001,28.6494,1,1,1,0.0,1,
Lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,-0.48372371799835073,0.48372371799835073,0.187825955872984,0.9057904049723997,-0.48372371799835073,0.56,9.720841474747257,6.176298517443475,2,0,1,369.36800000000005,67.87,1,4,5,25,0,850.7874646671855,3.515220000000002,86.73010000000005,3,3,2,0.25,1,
"1,8-Naphthyridine",C1=CC2=C(N=C1)N=CC=C2,-0.23664056764510225,0.23664056764510225,0.11404113376419926,0.3952218329653882,-0.23664056764510225,0.6,0.0,0.0,2,0,1,130.14999999999998,25.78,0,2,0,10,0,271.0151824090548,1.6298,39.53800000000002,2,2,2,0.0,1,
hypoxanthine,C1=NC2=C(N1)C(=O)NC=N2,-0.33867482420436507,0.33867482420436507,0.2232822690306714,0.6149328229267219,-0.33867482420436507,0.5,9.967957041894417,0.0,2,0,1,136.11399999999998,74.43,2,3,0,10,0,387.33055691677015,-0.35380000000000006,34.50939999999999,2,2,2,0.0,1,
"3,5-Difluorophenylboronic acid",B(C1=CC(=CC(=C1)F)F)(O)O,-0.4231748562673401,0.48812864690631885,0.2495126656367853,0.9113035031736589,-0.4231748562673401,0.6363636363636364,10.048045150132006,7.118392334224363,0,0,0,157.91200000000003,40.46,2,2,1,11,0,225.96526492984665,-0.35539999999999994,36.18360000000001,1,1,0,0.0,1,
adenine,C1=NC2=NC=NC(=C2N1)N,-0.381798268399509,0.381798268399509,0.2121412760906094,0.5640390043340267,-0.381798268399509,0.5,10.717645998109393,0.0,4,0,1,135.12999999999997,80.48,2,4,0,10,0,341.5657969317911,-0.06490000000000001,36.0961,2,2,2,0.0,1,
cytosine,C1=C(NC(=O)N=C1)N,-0.38510347203289846,0.38510347203289846,0.22798305614105885,0.7310365571728099,-0.38510347203289846,0.625,5.733667477162185,5.689743398203474,2,0,1,111.104,71.77,2,3,0,8,0,217.47996149735152,-0.6478999999999999,29.270100000000003,1,1,1,0.0,1,
thiourea ,C(=S)(N)N,-0.3765057148380912,0.3765057148380912,0.22939323299052564,0.5370020136377324,-0.3765057148380912,0.75,11.46733495432437,0.0,2,0,1,76.12400000000001,52.04,2,1,0,4,0,23.019550008653873,-0.8113000000000001,20.972800000000007,0,0,0,0.0,1,
thioacetamide ,CC(=S)N,-0.3935519604926499,0.3935519604926499,0.17563967940738157,0.4630882054708386,-0.3935519604926499,0.75,5.733667477162185,0.0,1,0,1,75.13600000000001,26.02,1,1,0,4,0,23.019550008653873,0.2924000000000001,22.4594,0,0,0,0.5,1,
dimethyl sulfide ,CSC,-0.1688616875245137,0.1688616875245137,0.07079716936303712,0.15018347563624812,,1.0,0.0,0.0,0,0,0,62.137,0.0,0,1,0,3,0,0.0,0.9792,19.438999999999997,0,0,0,1.0,1,
Malonamide,C(C(=O)N)C(=O)N,-0.36923144432180155,0.36923144432180155,0.2566281428238656,0.5955784917863767,-0.36923144432180155,0.5714285714285714,11.46733495432437,0.0,0,2,1,102.093,86.18,2,2,2,7,0,76.2114326716684,-1.6528999999999998,23.005800000000004,0,0,0,0.3333333333333333,1,
3-Thiopheneboronic acid,B(C1=CSC=C1)(O)O,-0.42315878532818807,0.48877555572791154,0.26925513844250126,0.9119343410560996,-0.42315878532818807,0.875,10.048045150132006,7.118392334224363,0,0,0,127.96099999999997,40.46,2,3,1,8,0,135.0817365257523,-0.5721,34.1446,1,1,1,0.0,1,
formamid,C(=O)N,-0.37226356988470927,0.37226356988470927,0.25259695694398954,0.5762943624421655,-0.37226356988470927,0.6666666666666666,5.733667477162185,0.0,0,1,1,45.041,43.09,1,1,0,3,0,7.5097750043269365,-0.8985000000000001,10.2514,0,0,0,0.0,1,
