name,SMILES,MinPartialCharge,StdPartialCharge,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,FormalCharge,LogP,RingCount,HeteroRing,FSP3
β-alanine(beta-alanine),C(CN)C(=O)O,-0.481195254586476,0.2640951420731063,-0.481195254586476,0.5,10.84019487200289,5.969305287951849,1,1,2,89.09399999999998,63.32000000000001,2,2,2,0,-0.5802,0,0,0.6666666666666666
2-hydroxy-4-methoxybenzophenone,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,-0.5070406870065455,0.1921682276734041,-0.5070406870065455,0.5882352941176471,9.843390348640757,0.0,0,1,1,228.247,46.53,1,3,3,0,2.6318000000000006,2,0,0.0714285714285714
Indigo dye ,C1=CC=C2C(=C1)C(=C(N2)C3=NC4=CC=CC=C4C3=O)O,-0.5049680851923583,0.17420854872767,-0.5049680851923583,0.6,10.090505915787915,0.0,1,1,2,262.268,65.45,2,3,1,0,3.190600000000002,4,2,0.0
[2-(9H-carbazol-9-yl)ethyl]phosphonic acid,C1=CC=C2C(=C1)C3=CC=CC=C3N2CCP(=O)(O)O,-0.3398219811102093,0.1568004574462538,-0.3398219811102093,0.631578947368421,14.353922853296304,7.595762326787885,1,0,1,275.2439999999999,62.46000000000001,2,1,3,0,2.9722000000000017,3,1,0.1428571428571428
octylphosphonic acid,CCCCCCCCP(=O)(O)O,-0.3244220090988002,0.167791595459093,-0.3244220090988002,0.8333333333333334,9.78682320550495,7.595762326787885,0,0,0,194.211,57.53,2,1,7,0,2.5246000000000013,0,0,1.0
2-fluoroethylamine,C(CF)N,-0.3279985182906302,0.1795328213325223,-0.3279985182906302,0.5,5.733667477162185,0.0,1,0,1,63.07499999999999,26.02,1,1,1,0,-0.0853999999999998,0,0,1.0
"2,2-difluoroethylamine",C(C(F)F)N,-0.3254868945612102,0.2099006536653262,-0.3254868945612102,0.6,5.733667477162185,0.0,1,0,1,81.06500000000001,26.02,1,1,1,0,0.2102000000000001,0,0,1.0
"2, 2, 2-trifluoroethylamine",C(C(F)(F)F)N.Cl,-0.3227526419248896,0.2224344732497976,-0.3227526419248896,0.7142857142857143,5.733667477162185,6.176298517443475,1,0,1,135.51600000000005,26.02,1,1,0,0,0.9292,0,0,1.0
11-Maleimidoundecanoic acid,C1=CC(=O)N(C1=O)CCCCCCCCCCC(=O)O,-0.481230389785217,0.1877200304163653,-0.481230389785217,0.65,5.106527394840706,5.969305287951849,0,3,1,281.3519999999999,74.68,1,3,11,0,2.5069,1,1,0.6666666666666666
pentafluorophenyl acrylate,C=CC(=O)OC1=C(C(=C(C(=C1F)F)F)F)F,-0.4168205184539103,0.2241221540821906,-0.4168205184539103,0.5,4.736862953800049,5.969305287951849,0,1,1,238.111,26.3,0,2,2,0,2.4735000000000005,1,0,0.0
(pentaerythritol tetrakis (3-mercaptopropionate),C(CS)C(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-0.4646386705684034,0.2349526635906989,-0.4646386705684034,0.4137931034482758,18.9474518152002,23.8772211518074,0,4,1,488.67100000000033,105.20000000000002,4,12,16,0,1.4251999999999998,0,0,0.7647058823529411
3-hexylthiophene,CCCCCCC1=CSC=C1,-0.1521555148513981,0.0369514155155966,0.0,1.0,0.0,0.0,0,0,0,168.305,0.0,0,1,5,0,3.8709000000000033,1,1,0.6
adamantane,C1C2CC3CC1CC(C2)C3,-0.0475496922422539,0.0033863753001472,0.0,1.0,0.0,0.0,0,0,0,136.23799999999997,0.0,0,0,0,0,2.832600000000001,4,0,1.0
1-adamantylamine,C1C2CC3CC1CC(C2)(C3)N,-0.3250304809663282,0.0853546713537473,-0.3250304809663282,0.9090909090909092,5.733667477162185,0.0,1,0,1,151.253,26.02,1,1,0,0,1.9139,4,0,1.0
